"rgn_id","pressures_score"
6,0.00621806997290443
8,1
17,0.248805032792492
20,0.00105933085006842
21,0.0686177297822566
39,0.165335666793882
70,0.000674119631861723
77,0.0511266833670789
81,0.451421179721245
