"rgn_id","year","producto","weight"
33,2018,"Algas",1
33,2019,"Algas",1
33,2020,"Algas",1
33,2021,"Algas",1
34,2017,"Algas",1
34,2018,"Algas",1
34,2019,"Algas",1
34,2020,"Algas",1
34,2021,"Algas",1
35,2017,"Algas",1
35,2018,"Algas",1
35,2019,"Algas",1
35,2020,"Algas",1
35,2021,"Algas",1
36,2017,"Algas",1
36,2018,"Algas",1
36,2019,"Algas",1
36,2020,"Algas",1
36,2021,"Algas",1
39,2017,"Algas",1
39,2018,"Algas",1
39,2019,"Algas",1
39,2020,"Algas",1
39,2021,"Algas",1
40,2020,"Algas",1
41,2017,"Algas",1
41,2018,"Algas",1
41,2019,"Algas",1
41,2020,"Algas",1
41,2021,"Algas",1
42,2017,"Algas",1
42,2018,"Algas",1
42,2019,"Algas",1
42,2020,"Algas",1
42,2021,"Algas",1
43,2017,"Aceite",0.045751779304449
43,2018,"Aceite",0.0700806021082727
43,2019,"Aceite",0.0159563280390182
43,2020,"Aceite",0.024223212782513
43,2021,"Aceite",0.0596231313418737
43,2017,"Algas",0.244184487757558
43,2018,"Algas",0.234570369607677
43,2019,"Algas",0.412014838288926
43,2020,"Algas",0.600013569715047
43,2021,"Algas",0.548692545164919
43,2017,"Harina",0.710063732937993
43,2018,"Harina",0.69534902828405
43,2019,"Harina",0.572028833672056
43,2020,"Harina",0.37576321750244
43,2021,"Harina",0.391684323493207
44,2017,"Algas",1
44,2018,"Algas",1
44,2019,"Algas",1
44,2020,"Algas",1
44,2021,"Algas",1
45,2017,"Algas",1
45,2018,"Algas",1
45,2019,"Algas",1
45,2020,"Algas",1
45,2021,"Algas",1
46,2017,"Algas",1
46,2018,"Algas",1
46,2019,"Algas",1
49,2017,"Algas",1
49,2018,"Algas",1
49,2019,"Algas",1
49,2020,"Algas",1
49,2021,"Algas",1
50,2017,"Algas",1
50,2018,"Algas",1
50,2021,"Algas",1
51,2018,"Algas",1
54,2017,"Algas",1
54,2018,"Algas",1
54,2019,"Algas",1
54,2020,"Algas",1
