"rgn_id","producto","year","tonnes_rel"
29,"Harina",2021,1
30,"Algas",2017,0.14975845410628
30,"Algas",2018,0.323671497584541
30,"Algas",2019,0.285024154589372
30,"Algas",2020,0.420289855072464
30,"Algas",2021,1
31,"Algas",2017,0.322404371584699
31,"Algas",2018,0.830601092896175
31,"Algas",2019,0.710382513661202
31,"Algas",2020,1
31,"Algas",2021,0.0710382513661202
33,"Algas",2017,0.434406678592725
33,"Algas",2018,0.789206917113894
33,"Algas",2019,1
33,"Algas",2020,0.550089445438283
33,"Algas",2021,0.43649373881932
34,"Algas",2017,0.493540051679587
34,"Algas",2018,0.422480620155039
34,"Algas",2019,1
34,"Algas",2020,0.939276485788114
34,"Algas",2021,0.82687338501292
35,"Algas",2017,1
35,"Algas",2018,0.780092592592593
35,"Algas",2019,0.532407407407407
35,"Algas",2020,0.493827160493827
35,"Algas",2021,0.344907407407407
36,"Algas",2017,0.790493747197449
36,"Algas",2018,0.525733645558268
36,"Algas",2019,0.972497633401425
36,"Algas",2020,0.926710178865029
36,"Algas",2021,1
39,"Algas",2017,0.428571428571429
39,"Algas",2018,1
39,"Algas",2019,0.857142857142857
39,"Algas",2020,0.285714285714286
39,"Algas",2021,0.571428571428571
40,"Algas",2020,1
41,"Algas",2017,0.931440554928214
41,"Algas",2018,0.290369414421681
41,"Algas",2019,0.868043232779481
41,"Algas",2020,0.801580900145185
41,"Algas",2021,1
42,"Algas",2017,0.7858177278402
42,"Algas",2018,0.689068664169788
42,"Algas",2019,0.888379525593009
42,"Algas",2020,0.9652734082397
42,"Algas",2021,1
43,"Aceite",2017,0.70774217221135
43,"Aceite",2018,1
43,"Aceite",2019,0.220890410958904
43,"Aceite",2020,0.247676125244618
43,"Aceite",2021,0.805406066536204
43,"Algas",2017,0.624621433505127
43,"Algas",2018,0.552928466429343
43,"Algas",2019,0.84435825230682
43,"Algas",2020,0.86536315817438
43,"Algas",2021,1
43,"Harina",2017,1
43,"Harina",2018,0.884672386702157
43,"Harina",2019,0.74675707693299
43,"Harina",2020,0.368550709552063
43,"Harina",2021,0.516101850337304
44,"Algas",2017,0.852851545494123
44,"Algas",2018,0.293861558554636
44,"Algas",2019,0.729429690901175
44,"Algas",2020,0.872659991292991
44,"Algas",2021,1
45,"Algas",2017,1
45,"Algas",2018,0.670689655172414
45,"Algas",2019,0.909195402298851
45,"Algas",2020,0.934626436781609
45,"Algas",2021,0.683620689655172
46,"Algas",2017,0.19672131147541
46,"Algas",2018,0.114754098360656
46,"Algas",2019,1
49,"Algas",2017,0.675428571428571
49,"Algas",2018,0.0822857142857143
49,"Algas",2019,0.108571428571429
49,"Algas",2020,1
49,"Algas",2021,0.227428571428571
50,"Algas",2017,0.666666666666667
50,"Algas",2018,1
50,"Algas",2021,0.25
51,"Algas",2018,1
54,"Algas",2017,1
54,"Algas",2018,0.668679799063047
54,"Algas",2019,0.93198622791669
54,"Algas",2020,0.997403623638313
54,"Algas",2021,0.710955579387029
55,"Algas",2017,0.261904761904762
55,"Algas",2018,0.666666666666667
55,"Algas",2020,1
55,"Algas",2021,0.214285714285714
56,"Algas",2018,1
57,"Algas",2017,0.363636363636364
57,"Algas",2018,1
58,"Aceite",2017,0.836378168531628
58,"Aceite",2018,1
58,"Aceite",2019,0.214432518839918
58,"Aceite",2020,0.176067595341402
58,"Aceite",2021,0.541676181776661
58,"Algas",2017,1
58,"Algas",2018,0.750489007119944
58,"Algas",2019,0.813238400751115
58,"Algas",2020,0.777403959001643
58,"Algas",2021,0.762694624833738
58,"Harina",2017,1
58,"Harina",2018,0.955320054771192
58,"Harina",2019,0.596223549311333
58,"Harina",2020,0.405099704281588
58,"Harina",2021,0.506863658853717
60,"Algas",2017,0.0697674418604651
60,"Algas",2019,1
61,"Algas",2017,1
61,"Algas",2018,0.569346527141096
61,"Algas",2019,0.896588789478676
61,"Algas",2020,0.964844614460498
61,"Algas",2021,0.928740792260757
62,"Algas",2017,0.236065573770492
62,"Algas",2018,0.255737704918033
62,"Algas",2019,0.937704918032787
62,"Algas",2020,0.888524590163934
62,"Algas",2021,1
63,"Algas",2017,1
63,"Algas",2018,0.104134762633997
63,"Algas",2019,0.0444104134762634
63,"Algas",2020,0.663093415007657
63,"Algas",2021,0.468606431852986
64,"Algas",2017,0.315950920245399
64,"Algas",2018,0.659509202453988
64,"Algas",2019,1
64,"Algas",2020,0.00920245398773006
64,"Algas",2021,0.00613496932515337
65,"Algas",2018,1
66,"Algas",2017,1
66,"Algas",2018,0.915844457341846
66,"Algas",2019,0.206616366802089
66,"Algas",2020,0.315728380731283
66,"Algas",2021,0.269297736506094
67,"Algas",2017,1
69,"Algas",2017,0.527173913043478
69,"Algas",2018,0.369565217391304
69,"Algas",2019,0.630434782608696
69,"Algas",2020,1
69,"Algas",2021,0.798913043478261
70,"Aceite",2017,0.934379294548786
70,"Aceite",2018,1
70,"Aceite",2019,0.0852038479157123
70,"Aceite",2020,0.0412276683463124
70,"Aceite",2021,0.21644525881814
70,"Algas",2017,0.607993706922385
70,"Algas",2018,0.490560383578064
70,"Algas",2019,0.753745879532514
70,"Algas",2020,1
70,"Algas",2021,0.519403655978424
70,"Harina",2017,0.929164537557486
70,"Harina",2018,1
70,"Harina",2019,0.111650485436893
70,"Harina",2020,0.0487991824220746
70,"Harina",2021,0.253321410321921
72,"Algas",2017,1
72,"Algas",2018,0.675997093801384
72,"Algas",2019,0.564337883828534
72,"Algas",2020,0.543612098963711
72,"Algas",2021,0.11158273106191
74,"Algas",2017,0.5
74,"Algas",2018,1
75,"Algas",2017,0.501348136399683
75,"Algas",2018,0.622204599524187
75,"Algas",2019,0.69817605075337
75,"Algas",2020,0.86375892149088
75,"Algas",2021,1
76,"Algas",2017,1
76,"Algas",2018,0.936842105263158
76,"Algas",2019,0.846411483253589
76,"Algas",2020,0.547368421052632
76,"Algas",2021,0.231578947368421
78,"Algas",2017,1
78,"Algas",2018,0.28125
78,"Algas",2019,0.1875
78,"Algas",2020,0.25
79,"Algas",2017,0.822603342128408
79,"Algas",2018,0.739982409850484
79,"Algas",2019,1
79,"Algas",2020,0.613931398416887
79,"Algas",2021,0.853755496921724
80,"Algas",2017,1
83,"Aceite",2017,1
83,"Aceite",2018,0.636000000000021
83,"Aceite",2019,0.709714285714309
83,"Aceite",2020,0.126857142857147
83,"Aceite",2021,0
83,"Algas",2017,0.43322550831793
83,"Algas",2018,0.435304990757856
83,"Algas",2019,0.521256931608133
83,"Algas",2020,0.44177449168207
83,"Algas",2021,1
83,"Harina",2017,1
83,"Harina",2018,0.643566878980874
83,"Harina",2019,0.634394904458581
83,"Harina",2020,0.10433121019108
83,"Harina",2021,0
85,"Algas",2017,1
85,"Algas",2018,0.102189781021898
85,"Algas",2019,0.00104275286757039
85,"Algas",2020,0.553701772679875
85,"Algas",2021,0.89051094890511
86,"Algas",2017,1
88,"Aceite",2017,1
88,"Aceite",2018,0.871770103839652
88,"Aceite",2019,0.702921999517025
88,"Aceite",2020,0.432842308621106
88,"Aceite",2021,0.446462207196329
88,"Algas",2017,1
88,"Algas",2018,0.88276707530648
88,"Algas",2019,0.563292469352014
88,"Algas",2020,0.854290718038529
88,"Algas",2021,0.676707530647986
88,"Harina",2017,1
88,"Harina",2018,0.883533727328306
88,"Harina",2019,0.647951905441206
88,"Harina",2020,0.488689627063379
88,"Harina",2021,0.415019360097819
89,"Algas",2017,0.837569753589567
89,"Algas",2018,0.554266725186532
89,"Algas",2019,1
89,"Algas",2020,0.94059815662424
89,"Algas",2021,0.990432002006395
92,"Algas",2017,0.285714285714286
92,"Algas",2018,0.0714285714285714
92,"Algas",2020,1
92,"Algas",2021,0.392857142857143
93,"Algas",2017,0.369324048823109
93,"Algas",2018,0.183298472292091
93,"Algas",2019,0.733935237893511
93,"Algas",2020,0.861897323201567
93,"Algas",2021,1
95,"Algas",2017,1
95,"Algas",2018,0.0688037529319781
95,"Algas",2020,0.480062548866302
95,"Algas",2021,0.659890539483972
99,"Aceite",2017,0.796026555687677
