"rgn_id","sector","year","wage_usd"
15,"Pesca",2018,0
16,"Acuicultura",2018,43938703.9264
16,"Alojamiento",2018,1571639.2944
16,"Transporte",2018,10627981.5504
16,"Turismo",2018,0
17,"Alojamiento",2018,2188733.2784
18,"Alojamiento",2018,0
20,"Acuicultura",2018,502961425.672
20,"Alojamiento",2018,347739.5232
21,"Acuicultura",2018,6489320.4832
21,"Alojamiento",2018,1807293.9872
21,"Pesca",2018,0
23,"Acuicultura",2018,1941847.128
23,"Alojamiento",2018,111287.6896
24,"Alojamiento",2018,782174.0656
25,"Alojamiento",2018,732824.1712
26,"Alojamiento",2018,2404713.4752
26,"Pesca",2018,7368700.3168
27,"Alojamiento",2018,7203839.1904
27,"Turismo",2018,211881.6432
28,"Acuicultura",2018,3388796.6064
28,"Alojamiento",2018,2606999.7552
28,"Pesca",2018,52560409.32
29,"Alojamiento",2018,456147.9744
29,"Pesca",2018,466155348.792
30,"Alojamiento",2018,69718.1232
30,"Pesca",2018,624741.68
31,"Acuicultura",2018,0
33,"Acuicultura",2018,11224527.016
33,"Alojamiento",2018,404323.9312
33,"Pesca",2018,645083.3824
33,"Transporte",2018,0
34,"El Quisco",2018,828409.1312
34,"Alojamiento",2018,828409.1312
35,"Alojamiento",2018,282078.5904
36,"Alojamiento",2018,116795.2896
38,"Alojamiento",2018,442730.5616
39,"Acuicultura",2018,2556621.176
39,"Alojamiento",2018,504108.6048
39,"Pesca",2018,263093.3312
42,"Alojamiento",2018,530784.272
43,"Alojamiento",2018,5475079.0832
43,"Pesca",2018,1132715.0464
43,"Turismo",2018,2036870.5376
44,"Alojamiento",2018,317321.8352
46,"Alojamiento",2018,5080990.296
46,"Turismo",2018,3311297.256
47,"Alojamiento",2018,1049543.992
49,"Pesca",2018,43449134.0368
50,"Alojamiento",2018,1447905.328
54,"Alojamiento",2018,1425395.6544
54,"Pesca",2018,9909.184
55,"Pesca",2018,47025990.68
56,"Alojamiento",2018,1398577.9136
57,"Acuicultura",2018,0
57,"Pesca",2018,1086854.4976
58,"Alojamiento",2018,1696489.168
59,"Acuicultura",2018,31653779.5744
59,"Alojamiento",2018,5352364.8096
59,"Pesca",2018,15139345.7312
59,"Transporte",2018,0
59,"Turismo",2018,9398089.5104
60,"Alojamiento",2018,266286.3904
61,"Alojamiento",2018,514516.3952
61,"Pesca",2018,5526827.144
64,"Alojamiento",2018,313221.9328
64,"Pesca",2018,220577.3568
66,"Alojamiento",2018,1593154.9024
67,"Alojamiento",2018,2127190.6816
67,"Pesca",2018,587726.112
69,"Alojamiento",2018,369986.6304
70,"Acuicultura",2018,6661896273.52
