"rgn_id","resilience_score"
1,1
2,0.916666666666667
3,1
4,1
5,1
6,1
7,0.916666666666667
8,0.916666666666667
9,1
10,0.75
11,1
12,1
13,1
14,1
15,1
16,0.916666666666667
17,0.916666666666667
18,1
19,0.916666666666667
20,0.916666666666667
21,1
22,1
23,0.916666666666667
24,1
25,0.916666666666667
26,0.916666666666667
27,0.916666666666667
28,1
29,1
30,0.916666666666667
31,0.916666666666667
32,0.916666666666667
33,1
34,0.916666666666667
35,1
36,0.916666666666667
37,0.833333333333333
38,1
39,0.916666666666667
40,0.916666666666667
41,0.583333333333333
42,0.958333333333333
43,1
44,0.916666666666667
45,1
46,0.833333333333333
47,0.916666666666667
48,0.916666666666667
49,1
50,0.916666666666667
51,1
52,0.916666666666667
53,0.916666666666667
54,0.916666666666667
55,0.75
56,1
57,0.833333333333333
58,0.75
59,0.916666666666667
60,1
61,0.833333333333333
62,0.916666666666667
63,1
64,0.916666666666667
65,1
66,1
67,0.916666666666667
68,0.916666666666667
69,1
70,0.916666666666667
71,0.916666666666667
72,0.916666666666667
73,0.916666666666667
74,0.916666666666667
75,0.916666666666667
76,1
77,0.916666666666667
78,0.916666666666667
79,1
80,1
81,0.916666666666667
82,1
83,0.833333333333333
84,0.916666666666667
85,0.916666666666667
86,0.916666666666667
87,0.916666666666667
88,1
89,0.833333333333333
90,1
91,0.916666666666667
92,0.916666666666667
93,1
94,1
95,0.916666666666667
96,0.916666666666667
97,1
98,1
99,0.833333333333333
100,0.916666666666667
101,0.916666666666667
102,1
103,0.75
