"rgn_id","area_km2"
1,293.2477174001
2,1823.382006303
3,3898.776751549
4,1180.62191203
5,1291.797101594
6,23051.45700435
7,31663.99358097
8,1321.785605473
9,3404.346929397
10,1109.9700287345
11,1442.239325124
12,741.8612751478
13,1319.7017291542
14,107.51210480077
15,363.7132595396
16,502.056338253
17,5389.842277253
18,1742.454565794
19,560.3127644979
20,1074.060968402
21,18240.98163176
22,984.5223713583
23,304.744822153
24,187.6909313236
25,120.8301312936
26,1529.691524587
27,911.1880862049
28,1690.128609374
29,1090.4368378712
30,742.422218351001
31,129.714671626
32,446.7283109534
33,914.363668778
34,207.6783395437
35,250.1493987117
36,2128.470721545
37,1084.705027617
38,3896.864757395
39,1210.9245389662
40,627.842698594
41,2430.143962997
42,2037.535342137
43,3831.854869678
44,2171.6695934632
45,711.400463025401
46,1145.4032608695
47,592.5118235767
48,252.3610126784
49,1078.9396806104
50,254.9558894793
51,375.3866692421
52,270.952992626001
53,651.943338663
54,1312.4768310672
55,767.099133261
56,955.487166856002
57,18617.850931857
58,2443.7356476423
59,32216.824093879
60,527.3645499373
61,2256.4119005826
62,341.9659032991
63,373.5291399251
64,893.477883103
65,440.548361049
66,1284.774879928
67,2653.789632671
68,2823.64609332
69,458.2279745298
70,7282.36459812097
71,74.92290982847
72,21073.7441056332
73,321.983444762
74,1355.093222885
75,1305.070342807
76,7883.498286487
77,1525.2484776164
78,847.5855447759
79,2672.439171377
80,530.923260286
81,4333.889057499
82,838.017796128999
83,257.1505196768
84,1747.5081649395
85,1203.9256900366
86,634.980145028801
87,1410.608135427
88,404.6456724675
89,5460.34027254
90,818.0801560685
91,3036.137945577
92,2385.0690695788
93,3286.1968687784
94,425.5333779183
95,7569.263212469
96,154.85787683117
97,14806.245979511
98,143.0062182972
99,693.7565663242
100,406.2442211531
101,562.4696587469
102,339.144617072
103,351.211150589
