"rgn_id","habitat","year","area_km2"
36,"Marismas y humedales",2017,5.7
36,"Playas y dunas",2017,121
37,"Macrocystis",2017,0.0284897809047579
37,"Bosques y matorrales",2017,40.89
37,"Marismas y humedales",2017,0.05
37,"Playas y dunas",2017,0.2
38,"Macrocystis",2017,3.52179057483634
38,"Bosques y matorrales",2017,
38,"Marismas y humedales",2017,
38,"Playas y dunas",2017,
39,"Macrocystis",2017,0.388692132907835
39,"Bosques y matorrales",2017,299.14
39,"Marismas y humedales",2017,1.33
39,"Playas y dunas",2017,19.31
40,"Macrocystis",2017,0.0705938000885382
40,"Bosques y matorrales",2017,2.07
40,"Marismas y humedales",2017,2.32
40,"Playas y dunas",2017,0.25
41,"Macrocystis",2017,0.15650154960232
41,"Bosques y matorrales",2017,1.14
41,"Marismas y humedales",2017,0.117
41,"Playas y dunas",2017,202.1
42,"Macrocystis",2017,0.0659877352685246
42,"Bosques y matorrales",2017,4.7
42,"Marismas y humedales",2017,17.7
42,"Playas y dunas",2017,136.89
43,"Macrocystis",2017,0.133780589253616
43,"Bosques y matorrales",2017,2.41
43,"Marismas y humedales",2017,18.05
43,"Playas y dunas",2017,305.8
44,"Macrocystis",2017,0.070033886581696
44,"Bosques y matorrales",2017,2.73
44,"Marismas y humedales",2017,0.8
44,"Playas y dunas",2017,52.4
45,"Macrocystis",2017,0.0132800061874334
45,"Bosques y matorrales",2017,17.55
45,"Marismas y humedales",2017,0
45,"Playas y dunas",2017,9.11
46,"Macrocystis",2017,0.0131317008333186
46,"Bosques y matorrales",2017,13.3
46,"Marismas y humedales",2017,38.13
46,"Playas y dunas",2017,8.25
47,"Macrocystis",2017,0.121901969458942
47,"Bosques y matorrales",2017,51.17
47,"Marismas y humedales",2017,0.09
47,"Playas y dunas",2017,1.7
48,"Macrocystis",2017,0.381954091847778
48,"Bosques y matorrales",2017,5.3
48,"Marismas y humedales",2017,1.5
48,"Playas y dunas",2017,0
49,"Macrocystis",2017,0.473802197871277
49,"Bosques y matorrales",2017,48.72
49,"Marismas y humedales",2017,3.7
49,"Playas y dunas",2017,5.76
50,"Macrocystis",2017,0.00266356498498806
50,"Bosques y matorrales",2017,16.2
50,"Marismas y humedales",2017,3.79
50,"Playas y dunas",2017,0.94
51,"Macrocystis",2017,0.00493071346525166
51,"Bosques y matorrales",2017,13.18
51,"Marismas y humedales",2017,6.1
51,"Playas y dunas",2017,1.89
52,"Macrocystis",2017,0.000411813586509462
52,"Bosques y matorrales",2017,3.73
52,"Marismas y humedales",2017,1.85
52,"Playas y dunas",2017,2.71
53,"Macrocystis",2017,0.158933023320263
53,"Bosques y matorrales",2017,71.76
53,"Marismas y humedales",2017,1.42
53,"Playas y dunas",2017,0.56
54,"Macrocystis",2017,0.262505610419464
54,"Bosques y matorrales",2017,35.9
54,"Marismas y humedales",2017,60
54,"Playas y dunas",2017,9
55,"Macrocystis",2017,0.101224247337817
55,"Bosques y matorrales",2017,12.77
55,"Marismas y humedales",2017,0.67
55,"Playas y dunas",2017,0.29
56,"Macrocystis",2017,0.0802099120712356
56,"Bosques y matorrales",2017,49.43
56,"Marismas y humedales",2017,0.9
56,"Playas y dunas",2017,1.1
57,"Macrocystis",2017,1.23830272193792
57,"Bosques y matorrales",2017,108.15
57,"Marismas y humedales",2017,0.9
57,"Playas y dunas",2017,1.1
58,"Macrocystis",2017,0.0155944223633545
58,"Bosques y matorrales",2017,1.5
58,"Marismas y humedales",2017,2.13
58,"Playas y dunas",2017,218.53
59,"Macrocystis",2017,127.262183620901
59,"Bosques y matorrales",2017,9353.96
59,"Marismas y humedales",2017,5479.5
59,"Playas y dunas",2017,77.87
60,"Macrocystis",2017,0.0127980572685769
60,"Bosques y matorrales",2017,1.13
60,"Marismas y humedales",2017,9.3
60,"Playas y dunas",2017,1.09
61,"Macrocystis",2017,0.134093655042829
61,"Bosques y matorrales",2017,13.63
61,"Marismas y humedales",2017,151.2
61,"Playas y dunas",2017,44.03
62,"Macrocystis",2017,0.0146558810892053
62,"Bosques y matorrales",2017,16.49
62,"Marismas y humedales",2017,11.45
62,"Playas y dunas",2017,44.03
63,"Macrocystis",2017,0.01166961367208
63,"Bosques y matorrales",2017,19.73
63,"Marismas y humedales",2017,4.18
63,"Playas y dunas",2017,1.35
64,"Macrocystis",2017,0.0701603940557211
64,"Bosques y matorrales",2017,43.36
64,"Marismas y humedales",2017,4.09
64,"Playas y dunas",2017,2
65,"Macrocystis",2017,0.193875508945828
65,"Bosques y matorrales",2017,3.45
65,"Marismas y humedales",2017,0.07
65,"Playas y dunas",2017,0.05
66,"Macrocystis",2017,0.036552710295549
66,"Bosques y matorrales",2017,53.5
66,"Marismas y humedales",2017,11.2
66,"Playas y dunas",2017,4.98
67,"Macrocystis",2017,3.32486685478436
67,"Bosques y matorrales",2017,64.87
67,"Marismas y humedales",2017,27.02
67,"Playas y dunas",2017,4.93
68,"Macrocystis",2017,1.58768796462022
68,"Bosques y matorrales",2017,22.5
