"rgn_id","specie","trend"
4,"Sula variegata","Decreciendo"
4,"Thalassarche bulleri","Estable"
4,"Thalassarche melanophris","Estable"
4,"Thalassarche salvini","Creciendo"
4,"Thalasseus elegans","Estable"
4,"Tringa flavipes","Estable"
5,"Brama australis","Estable"
5,"Charadrius collaris","Decreciendo"
5,"Charadrius modestus","Decreciendo"
5,"Charadrius nivosus","Decreciendo"
5,"Chelonia mydas","Decreciendo"
5,"Chroicocephalus serranus","Decreciendo"
5,"Cryphiops caementarius","Estable"
5,"Delphinus delphis","Estable"
5,"Falco peregrinus","Estable"
5,"Geranoaetus melanoleucus","Estable"
5,"Grampus griseus","Estable"
5,"Grimothea monodon","Estable"
5,"Haematopus palliatus","Estable"
5,"Lagenorhynchus obscurus","Estable"
5,"Larosterna inca","Estable"
5,"Laterallus jamaicensis","Estable"
5,"Leucocarbo bougainvillii","Estable"
5,"Leucophaeus modestus","Decreciendo"
5,"Leucophaeus pipixcan","Decreciendo"
5,"Lontra felina","Estable"
5,"Loxechinus albus","Decreciendo"
5,"Macronectes giganteus","Decreciendo"
5,"Mytilus chilensis","Estable"
5,"Numenius phaeopus","Estable"
5,"Oceanodroma markhami","Decreciendo"
5,"Oceanodroma tethys","Decreciendo"
5,"Otaria byronia","Estable"
5,"Pandion haliaetus","Estable"
5,"Pelecanoides garnotii","Creciendo"
5,"Pelecanus thagus","Creciendo"
5,"Phalacrocorax gaimardi","Decreciendo"
5,"Phoebastria irrorata","Decreciendo"
5,"Phoenicoparrus jamesi","Decreciendo"
5,"Phoenicopterus chilensis","Estable"
5,"Plegadis ridgwayi","Creciendo"
5,"Puffinus creatopus","Decreciendo"
5,"Puffinus griseus","Decreciendo"
5,"Recurvirostra andina","Decreciendo"
5,"Spheniscus humboldti","Estable"
5,"Sternula lorata","Decreciendo"
5,"Sula variegata","Decreciendo"
5,"Thalassarche bulleri","Estable"
5,"Thalassarche melanophris","Estable"
5,"Thalassarche salvini","Creciendo"
5,"Thalasseus elegans","Estable"
5,"Tringa flavipes","Estable"
5,"Tursiops truncatus","Decreciendo"
6,"Ameghinomya antiqua","Estable"
6,"Aulacomya atra","Estable"
6,"Charadrius modestus","Decreciendo"
6,"Chloephaga hybrida","Decreciendo"
6,"Coscoroba coscoroba","Decreciendo"
6,"Cygnus melancoryphus","Decreciendo"
6,"Diomedea epomophora","Decreciendo"
6,"Diomedea exulans","Estable"
6,"Durvillaea antarctica","Estable"
6,"Eleginops maclovinus","Decreciendo"
6,"Eubalaena australis","Decreciendo"
6,"Falco peregrinus","Estable"
6,"Genypterus blacodes","Creciendo"
6,"Geranoaetus melanoleucus","Estable"
6,"Haematopus palliatus","Estable"
6,"Lagenorhynchus australis","Estable"
6,"Lagenorhynchus obscurus","Estable"
6,"Leptonychotes weddellii","Decreciendo"
6,"Leucophaeus pipixcan","Decreciendo"
6,"Lontra provocax","Decreciendo"
6,"Macronectes giganteus","Decreciendo"
6,"Megaptera novaeangliae","Creciendo"
6,"Merluccius australis","Estable"
6,"Mulinia edulis","Estable"
6,"Mytilus chilensis","Estable"
6,"Numenius phaeopus","Estable"
6,"Orcinus orca","Decreciendo"
6,"Otaria byronia","Estable"
6,"Pelecanus thagus","Creciendo"
6,"Phalacrocorax gaimardi","Decreciendo"
6,"Primnoella chilensis","Estable"
6,"Pterodroma longirostris","Estable"
6,"Puffinus creatopus","Decreciendo"
6,"Puffinus griseus","Decreciendo"
6,"Sarcopeltis skottsbergii","Estable"
6,"Speculanas specularis","Decreciendo"
6,"Tachyeres patachonicus","Estable"
6,"Tachyeres pteneres","Decreciendo"
6,"Tawera elliptica","Decreciendo"
6,"Thalassarche bulleri","Estable"
6,"Thalassarche chrysostoma","Estable"
