"rgn_id","pressure_score"
1,0.0782868190542092
2,0.0826355022591092
3,1
4,0.0649003444426261
5,0.520292645399235
6,0.0621505104468728
7,0.00724564000772825
8,0.0500514580992358
9,0.0766309539796157
10,0.00068478895647523
11,0.0269461350213893
12,0.127686709799799
13,0.0363628110757785
14,0.103924698022888
15,0.0606620301869341
16,0.185459574910103
17,0.0105990856110237
18,0.0996613098428228
19,0.0110215649658152
20,0.0175180060592339
21,0.0119085487419317
22,0.0084287048532974
23,0.00386735331144959
24,0.0285388320774808
25,0.113579838184516
26,0.101625027703928
27,0.348722567086013
28,0.62443111602561
29,0.286734951507766
30,0.008426904627293
31,0.00647221078721295
32,0.0114832343332339
33,0.0414850049945391
34,0.078310538483972
35,0.0904011028917366
36,0.01172136381574
37,0.0150037648797727
38,0.00775685648314637
39,0.0206056535165684
40,0.203382153045642
41,0.0048398199212108
42,0.0216513789702902
43,0.762921280148377
44,0.00916857710649475
45,0.0779406320214252
46,0.548279665469829
47,0.0662621993575211
48,0.000784465116032251
49,0.00891584605770315
50,0.0214315100630121
51,0.0123357265358295
52,0.0539542948043812
53,0.0201278522457481
54,0.164519610744693
55,0.0948154387900104
56,0.0343052780252501
57,0.0336305376347025
58,0.00184547268789242
59,0.0861102796660833
60,0.0280444027532911
61,0.402193686428551
62,0.0138201568367561
63,0.0106173187833945
64,0.026348015928909
65,0.116304288955636
66,0.168089707067704
67,0.0392529875864235
68,0.00481612837869343
69,0.0659058484857765
70,0.580519421652752
71,0.104694190007259
72,0.403449864123185
73,0.0154815934625218
74,0.0440721587345716
75,0.0167150613862881
76,0.075934340849134
77,0.0195761934084038
78,0.0235428535075436
79,0.0871671378629791
80,0.0196622269707526
81,0.000642110441993669
82,0.0262305984073749
83,0.198249156405905
84,0.00313873205420464
85,0.0170011798192975
86,0.0144625417935087
87,0.0326874892432593
88,0.372965329975312
89,0.0606606090483966
90,0.0168749101254998
91,0.000851099217958301
92,0.0438126240155993
93,0.108289673429348
94,0.029662702759632
95,0.117791633171943
96,0.00111578291419845
97,0.000772695878823871
98,0.0295894222099024
99,0.398678352525274
100,0.741087803456922
101,0.00984853700533407
102,0.870382361130712
103,0.0178537911253808
