"rgn_id","habitat","boolean"
30,"Bosques y Matorrales",1
31,"Bosques y Matorrales",1
32,"Bosques y Matorrales",1
33,"Bosques y Matorrales",1
34,"Bosques y Matorrales",1
35,"Bosques y Matorrales",1
36,"Bosques y Matorrales",1
39,"Bosques y Matorrales",1
40,"Bosques y Matorrales",1
41,"Bosques y Matorrales",1
42,"Bosques y Matorrales",1
44,"Bosques y Matorrales",1
45,"Bosques y Matorrales",1
46,"Bosques y Matorrales",1
47,"Bosques y Matorrales",1
49,"Bosques y Matorrales",1
50,"Bosques y Matorrales",1
51,"Bosques y Matorrales",1
52,"Bosques y Matorrales",1
53,"Bosques y Matorrales",1
54,"Bosques y Matorrales",1
55,"Bosques y Matorrales",1
56,"Bosques y Matorrales",1
57,"Bosques y Matorrales",1
59,"Bosques y Matorrales",1
60,"Bosques y Matorrales",1
61,"Bosques y Matorrales",1
62,"Bosques y Matorrales",1
63,"Bosques y Matorrales",1
64,"Bosques y Matorrales",1
65,"Bosques y Matorrales",1
66,"Bosques y Matorrales",1
67,"Bosques y Matorrales",1
68,"Bosques y Matorrales",1
69,"Bosques y Matorrales",1
70,"Bosques y Matorrales",1
71,"Bosques y Matorrales",1
72,"Bosques y Matorrales",1
73,"Bosques y Matorrales",1
75,"Bosques y Matorrales",1
76,"Bosques y Matorrales",1
77,"Bosques y Matorrales",1
78,"Bosques y Matorrales",1
79,"Bosques y Matorrales",1
80,"Bosques y Matorrales",1
81,"Bosques y Matorrales",1
82,"Bosques y Matorrales",1
83,"Bosques y Matorrales",1
85,"Bosques y Matorrales",1
86,"Bosques y Matorrales",1
87,"Bosques y Matorrales",1
88,"Bosques y Matorrales",1
89,"Bosques y Matorrales",1
90,"Bosques y Matorrales",1
91,"Bosques y Matorrales",1
92,"Bosques y Matorrales",1
93,"Bosques y Matorrales",1
94,"Bosques y Matorrales",1
95,"Bosques y Matorrales",1
97,"Bosques y Matorrales",1
98,"Bosques y Matorrales",1
99,"Bosques y Matorrales",1
100,"Bosques y Matorrales",1
101,"Bosques y Matorrales",1
102,"Bosques y Matorrales",1
103,"Bosques y Matorrales",1
1,"Playas y Dunas",1
2,"Playas y Dunas",1
3,"Playas y Dunas",1
4,"Playas y Dunas",1
5,"Playas y Dunas",1
6,"Playas y Dunas",1
7,"Playas y Dunas",1
8,"Playas y Dunas",1
9,"Playas y Dunas",1
10,"Playas y Dunas",1
11,"Playas y Dunas",1
12,"Playas y Dunas",1
14,"Playas y Dunas",1
15,"Playas y Dunas",1
16,"Playas y Dunas",1
17,"Playas y Dunas",1
18,"Playas y Dunas",1
19,"Playas y Dunas",1
20,"Playas y Dunas",1
21,"Playas y Dunas",1
22,"Playas y Dunas",1
23,"Playas y Dunas",1
24,"Playas y Dunas",1
25,"Playas y Dunas",1
26,"Playas y Dunas",1
27,"Playas y Dunas",1
28,"Playas y Dunas",1
29,"Playas y Dunas",1
30,"Playas y Dunas",1
32,"Playas y Dunas",1
33,"Playas y Dunas",1
34,"Playas y Dunas",1
35,"Playas y Dunas",1
36,"Playas y Dunas",1
37,"Playas y Dunas",1
39,"Playas y Dunas",1
40,"Playas y Dunas",1
41,"Playas y Dunas",1
42,"Playas y Dunas",1
43,"Playas y Dunas",1
44,"Playas y Dunas",1
45,"Playas y Dunas",1
46,"Playas y Dunas",1
47,"Playas y Dunas",1
48,"Playas y Dunas",1
49,"Playas y Dunas",1
50,"Playas y Dunas",1
51,"Playas y Dunas",1
52,"Playas y Dunas",1
53,"Playas y Dunas",1
54,"Playas y Dunas",1
55,"Playas y Dunas",1
56,"Playas y Dunas",1
57,"Playas y Dunas",1
58,"Playas y Dunas",1
59,"Playas y Dunas",1
60,"Playas y Dunas",1
61,"Playas y Dunas",1
62,"Playas y Dunas",1
63,"Playas y Dunas",1
64,"Playas y Dunas",1
65,"Playas y Dunas",1
66,"Playas y Dunas",1
67,"Playas y Dunas",1
68,"Playas y Dunas",1
69,"Playas y Dunas",1
70,"Playas y Dunas",1
71,"Playas y Dunas",1
72,"Playas y Dunas",1
73,"Playas y Dunas",1
74,"Playas y Dunas",1
75,"Playas y Dunas",1
76,"Playas y Dunas",1
77,"Playas y Dunas",1
78,"Playas y Dunas",1
79,"Playas y Dunas",1
80,"Playas y Dunas",1
81,"Playas y Dunas",1
82,"Playas y Dunas",1
83,"Playas y Dunas",1
85,"Playas y Dunas",1
86,"Playas y Dunas",1
87,"Playas y Dunas",1
88,"Playas y Dunas",1
89,"Playas y Dunas",1
90,"Playas y Dunas",1
91,"Playas y Dunas",1
92,"Playas y Dunas",1
93,"Playas y Dunas",1
94,"Playas y Dunas",1
95,"Playas y Dunas",1
96,"Playas y Dunas",1
97,"Playas y Dunas",1
98,"Playas y Dunas",1
99,"Playas y Dunas",1
100,"Playas y Dunas",1
101,"Playas y Dunas",1
102,"Playas y Dunas",1
103,"Playas y Dunas",1
1,"Bentonico",1
3,"Bentonico",1
4,"Bentonico",1
5,"Bentonico",1
6,"Bentonico",1
7,"Bentonico",1
9,"Bentonico",1
10,"Bentonico",1
11,"Bentonico",1
12,"Bentonico",1
13,"Bentonico",1
14,"Bentonico",1
15,"Bentonico",1
16,"Bentonico",1
18,"Bentonico",1
19,"Bentonico",1
20,"Bentonico",1
21,"Bentonico",1
22,"Bentonico",1
24,"Bentonico",1
25,"Bentonico",1
26,"Bentonico",1
27,"Bentonico",1
28,"Bentonico",1
29,"Bentonico",1
30,"Bentonico",1
32,"Bentonico",1
33,"Bentonico",1
34,"Bentonico",1
35,"Bentonico",1
36,"Bentonico",1
37,"Bentonico",1
40,"Bentonico",1
41,"Bentonico",1
42,"Bentonico",1
43,"Bentonico",1
44,"Bentonico",1
45,"Bentonico",1
46,"Bentonico",1
47,"Bentonico",1
49,"Bentonico",1
50,"Bentonico",1
51,"Bentonico",1
52,"Bentonico",1
53,"Bentonico",1
54,"Bentonico",1
55,"Bentonico",1
56,"Bentonico",1
58,"Bentonico",1
59,"Bentonico",1
60,"Bentonico",1
61,"Bentonico",1
62,"Bentonico",1
63,"Bentonico",1
64,"Bentonico",1
65,"Bentonico",1
66,"Bentonico",1
69,"Bentonico",1
72,"Bentonico",1
74,"Bentonico",1
76,"Bentonico",1
79,"Bentonico",1
80,"Bentonico",1
82,"Bentonico",1
83,"Bentonico",1
85,"Bentonico",1
86,"Bentonico",1
87,"Bentonico",1
88,"Bentonico",1
89,"Bentonico",1
90,"Bentonico",1
92,"Bentonico",1
93,"Bentonico",1
94,"Bentonico",1
95,"Bentonico",1
97,"Bentonico",1
98,"Bentonico",1
99,"Bentonico",1
100,"Bentonico",1
101,"Bentonico",1
102,"Bentonico",1
103,"Bentonico",1
