"rgn_id","year","trend"
1,2021,-0.376263691830512
6,2021,-0.141211687904376
7,2021,-0.0195479602729502
8,2021,-1
17,2021,-0.363442474548944
20,2021,-0.26547390954811
21,2021,-0.211203949980235
23,2021,-1
31,2021,-0.998525946041676
33,2021,-0.193497366100385
38,2021,-0.0356450264842878
39,2021,-0.296603021046712
57,2021,-0.131066046674455
59,2021,-0.0155491980442479
70,2021,-0.439973935406917
71,2021,-4.79506898942395e-13
72,2021,-0.0150746860716488
73,2021,-1
75,2021,-0.756275030289012
76,2021,-0.0599538429653469
77,2021,-0.385052856008012
78,2021,-0.29840257419922
81,2021,0.0213359047972515
