"rgn_id","resilience_score"
1,0.721703011422638
2,0.895811699550017
3,0.391138802353756
4,1
5,0.0865351332641052
6,0.183108341986847
7,0.369678089304258
8,0.895811699550017
9,0.240567670474213
10,0.0865351332641052
11,0.415368639667705
12,1
13,0.203530633437176
14,0.721703011422638
15,0.721703011422638
16,0.895811699550017
17,0.895811699550017
18,0.240567670474213
19,0.0865351332641052
20,0.895811699550017
21,0.183108341986847
22,0.0865351332641052
23,0.895811699550017
24,0.0865351332641052
25,0.721703011422638
26,1
27,0.240567670474213
28,0.415368639667705
29,1
30,0.120456905503634
31,0.895811699550017
32,0.0865351332641052
33,0.895811699550017
34,0.721703011422638
35,0.721703011422638
36,0.240567670474213
37,0.895811699550017
38,0.183108341986847
39,0.895811699550017
40,1
41,0.252682589131187
42,0.240567670474213
43,0.252682589131187
44,0.415368639667705
45,0.721703011422638
46,0.415368639667705
47,0.120456905503634
48,0.369678089304258
49,1
50,0.0865351332641052
51,0.138456213222568
52,1
53,0.895811699550017
54,0.415368639667705
55,1
56,0.120456905503634
57,0.895811699550017
58,0.391138802353756
59,0.369678089304258
60,0.138456213222568
61,0.415368639667705
62,0.721703011422638
63,0.138456213222568
64,0.0865351332641052
65,1
66,0.138456213222568
67,0.369678089304258
68,0.369678089304258
69,0.721703011422638
70,0.895811699550017
71,0.895811699550017
72,0.369678089304258
73,0.895811699550017
74,0.895811699550017
75,0.895811699550017
76,0.895811699550017
77,0.895811699550017
78,0.895811699550017
79,0.721703011422638
80,0.895811699550017
81,0.369678089304258
82,0.203530633437176
83,0.721703011422638
84,0.369678089304258
85,0.120456905503634
86,1
87,0.721703011422638
88,1
89,0.391138802353756
90,0.203530633437176
91,0.369678089304258
92,1
93,0.391138802353756
94,0.203530633437176
95,1
96,0.369678089304258
97,0.183108341986847
98,0.0865351332641052
99,0.120456905503634
100,0.721703011422638
101,0.0865351332641052
102,0.721703011422638
103,0.721703011422638
