"rgn_id","pressure_score"
1,0.181570722855127
2,0.288033067849582
3,0.0879120879120879
4,0.198306280875088
5,0.128742816816211
6,0.188022986188124
7,0.20344792821857
8,0.344288738784152
9,0.275027724569009
10,0.802096985583224
11,0.474342171589878
12,0.279766105454179
13,0.386026817219478
14,0.194475249521121
15,0.20768222603085
16,0.246294989414256
17,0.568908156064119
18,0.16614578082468
19,0.469805423933864
20,0.461236011694727
21,0.278052223006351
22,0.557515878616796
23,0.668615787881843
24,0.343986288940417
25,0.0922472023389455
26,0.196794031656417
27,0.121484020566589
28,0.122895453170683
29,0.0777296098397015
30,0.35225325133582
31,0.482709950599859
32,0.308801290452667
33,0.416574251436637
34,0.211311624155661
35,0.395301945760661
36,0.320496017743724
37,0.329367879826595
38,0.122593003326948
39,0.340860973888497
40,0.0400241959874987
41,0.473838088516988
42,0.250630103841113
43,0.0839802399435427
44,0.30547434217159
45,0.138017945357395
46,0.130456699264039
47,0.272809759048291
48,0.691097892932755
49,0.137009779211614
50,0.238733743320899
51,0.301542494203045
52,0.102631313640488
53,0.540377054138522
54,0.23026514769634
55,0.0616997681217865
56,0.297207379776187
57,0.346002621231979
58,0.237423127331384
59,0.15616493598145
60,0.257183183788688
61,0.150418388950499
62,0.113418691400343
63,0.298417179151124
64,0.365258594616393
65,0.0471821756225427
66,0.20344792821857
67,0.158382901502167
68,0.676479483818933
69,0.428571428571429
70,0.129448533118258
71,0.308196390765198
72,0.0997076318177236
73,0.550055449138018
74,0.273011392277447
75,0.575763685855429
76,0.373525557011796
77,0.590079645125517
78,0.457505796955338
79,0.321907450347817
80,0.350841818731727
81,1
82,0.651577780018147
83,0.0778304264542796
84,0.753705010585745
85,0.847766911987096
86,0.0614981348926303
87,0.401350942635346
88,0.0407299122895454
89,0.286924085089223
90,0.518197398931344
91,0.717310212723057
92,0.507107571327755
93,0.130053432805726
94,0.504083072890412
95,0.136203246294989
96,0.935779816513761
97,0.440165339247908
98,0.495715293880432
99,0.123197903014417
100,0.0863998386934166
101,0.389454582115133
102,0.0918439358806331
103,0.235810061498135
