"rgn_id","year","habitat","km2"
1,"2017","Kelp forest",0.00699436280405258
2,"2017","Kelp forest",1.09449678776585
3,"2017","Kelp forest",0.0539269759447861
4,"2017","Kelp forest",0.39175993935417
5,"2017","Kelp forest",0.0146048515062996
6,"2017","Kelp forest",22.5607447836443
7,"2017","Kelp forest",186.695445487792
8,"2017","Kelp forest",0.603805900919951
9,"2017","Kelp forest",0.0757473318484068
10,"2017","Kelp forest",0.00418005619293441
11,"2017","Kelp forest",0.11764440646617
12,"2017","Kelp forest",0.00451186437514886
13,"2017","Kelp forest",0.00644781142711017
14,"2017","Kelp forest",0.000458937090546417
15,"2017","Kelp forest",0.00251160658465873
16,"2017","Kelp forest",1.00359489091091
17,"2017","Kelp forest",3.27099044224627
18,"2017","Kelp forest",0.00901069837540856
19,"2017","Kelp forest",0.0157324528526543
20,"2017","Kelp forest",0.147988878860354
21,"2017","Kelp forest",18.5243720561109
22,"2017","Kelp forest",0.0394476773437932
23,"2017","Kelp forest",0.0881730319498947
24,"2017","Kelp forest",0.00466651277572226
25,"2017","Kelp forest",0
26,"2017","Kelp forest",0.017990358492145
27,"2017","Kelp forest",0.0504750090050471
28,"2017","Kelp forest",0.0165212293292599
29,"2017","Kelp forest",0.504948016650674
30,"2017","Kelp forest",0.516367287869359
31,"2017","Kelp forest",0.292118392590179
32,"2017","Kelp forest",0
33,"2017","Kelp forest",0.166755603082158
34,"2017","Kelp forest",0.000460250991252217
35,"2017","Kelp forest",0.00136589776083609
36,"2017","Kelp forest",0.0891038377212094
37,"2017","Kelp forest",0.0284897809047579
38,"2017","Kelp forest",3.52179057483634
39,"2017","Kelp forest",0.388692132907835
40,"2017","Kelp forest",0.0705938000885382
41,"2017","Kelp forest",0.15650154960232
42,"2017","Kelp forest",0.0659877352685246
43,"2017","Kelp forest",0.133780589253616
44,"2017","Kelp forest",0.070033886581696
45,"2017","Kelp forest",0.0132800061874334
46,"2017","Kelp forest",0.0131317008333186
47,"2017","Kelp forest",0.121901969458942
48,"2017","Kelp forest",0.381954091847778
49,"2017","Kelp forest",0.473802197871277
50,"2017","Kelp forest",0.00266356498498806
51,"2017","Kelp forest",0.00493071346525166
52,"2017","Kelp forest",0.000411813586509462
53,"2017","Kelp forest",0.158933023320263
54,"2017","Kelp forest",0.262505610419464
55,"2017","Kelp forest",0.101224247337817
56,"2017","Kelp forest",0.0802099120712356
57,"2017","Kelp forest",1.23830272193792
58,"2017","Kelp forest",0.0155944223633545
59,"2017","Kelp forest",127.262183620901
60,"2017","Kelp forest",0.0127980572685769
61,"2017","Kelp forest",0.134093655042829
62,"2017","Kelp forest",0.0146558810892053
63,"2017","Kelp forest",0.01166961367208
64,"2017","Kelp forest",0.0701603940557211
65,"2017","Kelp forest",0.193875508945828
66,"2017","Kelp forest",0.036552710295549
67,"2017","Kelp forest",3.32486685478436
