"rgn_id","year","s_score"
17,2020,1.00990099009901
18,2020,1
19,2020,1
20,2020,1
21,2020,1.0084388185654
22,2020,1
23,2020,1
24,2020,1
25,2020,1.02105263157895
26,2020,1
27,2020,1.03225806451613
28,2020,1.00335570469799
29,2020,1
30,2020,1
31,2020,1
32,2020,1
33,2020,1
34,2020,1
35,2020,1
36,2020,1.01282051282051
37,2020,1
38,2020,1
39,2020,1.00869565217391
40,2020,1.06818181818182
41,2020,1
42,2020,1.06060606060606
43,2020,1.01202404809619
44,2020,1
45,2020,1.03703703703704
46,2020,1.0142566191446
47,2020,1.02247191011236
48,2020,1
49,2020,1
50,2020,1
51,2020,1
52,2020,1
53,2020,1.05
54,2020,1
55,2020,1.0952380952381
56,2020,1
57,2020,1
58,2020,1
59,2020,1.0105421686747
60,2020,1
61,2020,1.01234567901235
62,2020,1
63,2020,1
64,2020,1
65,2020,1
66,2020,1.00272479564033
67,2020,1
68,2020,1
69,2020,1
70,2020,1.01012145748988
71,2020,1.0112540192926
72,2020,1.00516351118761
73,2020,1
74,2020,1
75,2020,1
76,2020,1
77,2020,1
78,2020,1
79,2020,1.01282051282051
80,2020,1
81,2020,1
82,2020,1
83,2020,1
84,2020,1
85,2020,1.02857142857143
86,2020,1
87,2020,1
88,2020,1
89,2020,1.07142857142857
90,2020,1
91,2020,1
92,2020,1
93,2020,1
94,2020,1
95,2020,1
96,2020,1
97,2020,1
98,2020,1
99,2020,1.00610687022901
100,2020,1.00907029478458
101,2020,1
102,2020,1.00678733031674
103,2020,1
1,2021,1
2,2021,1
3,2021,1.00398406374502
4,2021,1
5,2021,1.00925925925926
6,2021,1
7,2021,1.05555555555556
8,2021,1
9,2021,1
10,2021,1
11,2021,1
12,2021,1
13,2021,1.01923076923077
14,2021,1.01149425287356
15,2021,1
16,2021,1.00819672131148
17,2021,1.00877192982456
18,2021,1
19,2021,1
20,2021,1
21,2021,1.00806451612903
22,2021,1
23,2021,1.02040816326531
24,2021,1
25,2021,1.02
26,2021,1
27,2021,1.04182509505703
28,2021,1.0030303030303
29,2021,1.02777777777778
30,2021,1
31,2021,1
32,2021,1
33,2021,1
34,2021,1
35,2021,1
36,2021,1.01162790697674
37,2021,1
38,2021,1
39,2021,1.02307692307692
40,2021,1.06666666666667
41,2021,1.04545454545455
42,2021,1.05714285714286
43,2021,1.01245551601423
44,2021,1
45,2021,1.03333333333333
46,2021,1.021113243762
47,2021,1.02020202020202
48,2021,1
49,2021,1
50,2021,1
51,2021,1
52,2021,1
53,2021,1.04545454545455
54,2021,1
55,2021,1.11111111111111
56,2021,1
57,2021,1
58,2021,1
59,2021,1.00962861072902
60,2021,1
61,2021,1.01136363636364
62,2021,1
63,2021,1
64,2021,1
65,2021,1
66,2021,1.00255754475703
67,2021,1
68,2021,1
69,2021,1
70,2021,1.01518026565465
71,2021,1.01829268292683
72,2021,1.01236476043277
73,2021,1.02941176470588
74,2021,1
75,2021,1
76,2021,1
77,2021,1
78,2021,1
79,2021,1.0125
80,2021,1
81,2021,1
82,2021,1
83,2021,1
84,2021,1
85,2021,1.02564102564103
86,2021,1
87,2021,1.05882352941176
88,2021,1
89,2021,1.05405405405405
90,2021,1
91,2021,1
92,2021,1
93,2021,1
94,2021,1
95,2021,1
96,2021,1
97,2021,1
98,2021,1
99,2021,1.00582241630277
100,2021,1.0126582278481
101,2021,1
102,2021,1.00635593220339
103,2021,1
