"rgn_id","year","fis","mar","total","w_fis"
65,2017,1594,NA,1594,1
65,2018,866,NA,866,1
65,2019,841,NA,841,1
65,2020,1088,NA,1088,1
65,2021,969,NA,969,1
66,2017,1489,0,1489,1
66,2018,1732,3.299,1735.299,0.998098886704827
66,2019,1694,2.395,1696.395,0.998588182587192
66,2020,1390,2.003,1392.003,0.998561066319541
66,2021,1707,3.214,1710.214,0.99812070302313
67,2017,763,0,763,1
67,2018,548,0,548,1
67,2019,538,125.332,663.332,0.811056906647049
67,2020,842,805.536,1647.536,0.511066222528673
67,2021,538,1402.499,1940.499,0.27724827479942
69,2017,161,0.06,161.06,0.999627468024339
69,2018,171,1.212,172.212,0.992962162915476
69,2019,157,0.05,157.05,0.999681630054123
69,2020,244,4.872,248.872,0.980423671606288
69,2021,137,4.089,141.089,0.97101829341763
70,2017,6555,38592.588,45147.588,0.145190480607735
70,2018,5343,76315.25,81658.25,0.0654312332189338
70,2019,4627,41148.735,45775.735,0.101079753279767
70,2020,4530,91615.491,96145.491,0.0471160940870332
70,2021,3961,57783.686,61744.686,0.064151269633147
71,2017,32,3490.597,3522.597,0.00908420690757416
71,2018,9,3800.52,3809.52,0.00236250236250236
71,2019,3,4168.982,4171.982,0.000719082680606005
71,2020,1,4982.792,4983.792,0.000200650428428795
72,2017,8928,8142.873,17070.873,0.522996099847969
72,2018,9938,40345.397,50283.397,0.197639789531324
72,2019,9837,7364.291,17201.291,0.571875680726522
72,2020,12536,9238.154,21774.154,0.575728453100864
72,2021,6345,22756.564,29101.564,0.218029518963311
73,2017,4,46990.881,46994.881,8.51156533410522e-05
73,2018,1,53643.576,53644.576,1.86412136056402e-05
73,2019,4,47935.085,47939.085,8.3439222922173e-05
73,2020,24,56213.57,56237.57,0.00042676097135776
73,2021,156,55073.239,55229.239,0.00282459079329339
74,2017,24,54.672,78.672,0.305064063453325
74,2018,15,17.168,32.168,0.466301914946531
74,2019,1,148.016,149.016,0.0067106887850969
74,2020,6,100.14,106.14,0.0565291124929339
75,2017,2022,50766.453,52788.453,0.0383038313322044
75,2018,1878,19031.649,20909.649,0.0898149940250073
75,2019,2613,47205.306,49818.306,0.0524505991833604
75,2020,3581,26087.313,29668.313,0.120701166931871
75,2021,2073,46443.069,48516.069,0.0427281113809942
76,2017,27666,53396.576,81062.576,0.341291892821171
76,2018,22211,61957.659,84168.659,0.26388682276618
76,2019,21641,46126.059,67767.059,0.319343945559154
76,2020,24498,58550.806,83048.806,0.294983169294451
76,2021,20329,45209.247,65538.247,0.310185287683999
77,2017,1223,39726.496,40949.496,0.0298660574479354
77,2018,1734,64311.56,66045.56,0.026254603640275
77,2019,2198,37731.84,39929.84,0.0550465516515969
77,2020,1734,53979.51,55713.51,0.0311235102581044
77,2021,868,36410.266,37278.266,0.0232843448244079
78,2017,39,82833.543,82872.543,0.000470602187264846
78,2018,95,77804.779,77899.779,0.00121951565485186
78,2019,122,62712.6,62834.6,0.00194160542121697
78,2020,66,99803.592,99869.592,0.000660861816677893
78,2021,68,91642.766,91710.766,0.000741461476834683
79,2017,23734,NA,23734,1
79,2018,10072,NA,10072,1
79,2019,2827,NA,2827,1
79,2020,7180,NA,7180,1
79,2021,12217,NA,12217,1
80,2021,2,NA,2,1
82,2017,1660,33,1693,0.980507974010632
82,2018,1812,24.15,1836.15,0.986847479781064
82,2019,1143,21.2,1164.2,0.981790070434633
82,2020,34,20.65,54.65,0.622140896614822
82,2021,26,17.5,43.5,0.597701149425287
83,2017,36350,NA,36350,1
83,2018,23919,NA,23919,1
83,2019,15535,NA,15535,1
83,2020,12830,NA,12830,1
83,2021,19213,NA,19213,1
85,2017,769,114.381,883.381,0.870519062556247
85,2018,765,122.426,887.426,0.862043708433154
85,2019,723,93.85,816.85,0.885107424863806
85,2020,817,41.784,858.784,0.951345157804524
85,2021,618,86.199,704.199,0.877592839524055
86,2018,13,NA,13,1
86,2019,4,NA,4,1
86,2020,115,NA,115,1
86,2021,132,NA,132,1
88,2017,202472,NA,202472,1
88,2018,198500,NA,198500,1
88,2019,178908,NA,178908,1
88,2020,272570,NA,272570,1
88,2021,195772,NA,195772,1
89,2017,1002,0,1002,1
89,2018,518,0,518,1
89,2019,1711,0,1711,1
89,2020,641,0.081,641.081,0.999873650911507
89,2021,509,5.854,514.854,0.988629786308351
92,2017,4566,NA,4566,1
92,2018,3356,NA,3356,1
92,2019,644,NA,644,1
92,2020,2759,NA,2759,1
92,2021,1615,NA,1615,1
93,2017,551,NA,551,1
93,2018,618,NA,618,1
93,2019,796,NA,796,1
93,2020,901,NA,901,1
93,2021,561,NA,561,1
94,2017,1634,23.598,1657.598,0.985763737649297
94,2018,1801,21.422,1822.422,0.988245313105307
94,2019,1133,17.303,1150.303,0.984957876316066
94,2020,1735,13.136,1748.136,0.99248571049392
94,2021,3806,19.403,3825.403,0.994927854660019
95,2017,9832,4.665,9836.665,0.999525753901348
95,2018,16280,5.883,16285.883,0.999638766900143
95,2019,4239,5.23,4244.23,0.998767738788897
95,2020,4989,3.089,4992.089,0.999381220967815
95,2021,3988,4.836,3992.836,0.998788830795956
97,2017,12,NA,12,1
97,2018,4,NA,4,1
97,2019,3,NA,3,1
99,2017,24480,5.2,24485.2,0.999787626811298
99,2018,13582,24.335,13606.335,0.998211494866178
99,2019,4896,13.35,4909.35,0.997280699074215
99,2020,4294,19.66,4313.66,0.995442385352578
99,2021,5993,26.936,6019.936,0.995525533826273
100,2017,11939,NA,11939,1
100,2018,6231,NA,6231,1
100,2019,3781,NA,3781,1
100,2020,3850,NA,3850,1
100,2021,4757,NA,4757,1
101,2017,269,NA,269,1
101,2018,309,NA,309,1
101,2019,479,NA,479,1
101,2020,568,NA,568,1
101,2021,526,NA,526,1
102,2017,1,NA,1,1
102,2019,3,NA,3,1
102,2020,6,NA,6,1
102,2021,1,NA,1,1
103,2017,17,NA,17,1
103,2018,32,NA,32,1
103,2019,9,NA,9,1
103,2020,4,NA,4,1
103,2021,7,NA,7,1
