"rgn_id","Sector","year","jobs"
61,"Transporte","2017",0
61,"Turismo","2017",2
62,"Alojamiento","2017",14
62,"Pesca","2017",90
62,"Transporte","2017",0
62,"Turismo","2017",2
63,"Acuicultura","2017",0
63,"Alojamiento","2017",11
63,"Pesca","2017",16
64,"Alojamiento","2017",54
64,"Pesca","2017",11
64,"Transporte","2017",1
64,"Turismo","2017",0
65,"Acuicultura","2017",20
65,"Alojamiento","2017",1
65,"Pesca","2017",69
65,"Transporte","2017",2
66,"Acuicultura","2017",5
66,"Alojamiento","2017",167
66,"Pesca","2017",31
66,"Turismo","2017",1
67,"Acuicultura","2017",1426
67,"Alojamiento","2017",50
67,"Pesca","2017",861
67,"Transporte","2017",176
67,"Turismo","2017",4
68,"Alojamiento","2017",36
69,"Acuicultura","2017",9
69,"Alojamiento","2017",22
69,"Pesca","2017",12
69,"Turismo","2017",2
70,"Acuicultura","2017",30443
70,"Alojamiento","2017",273
70,"Pesca","2017",4962
70,"Transporte","2017",5056
71,"Acuicultura","2017",3880
71,"Alojamiento","2017",91
71,"Pesca","2017",1265
71,"Transporte","2017",246
71,"Turismo","2017",173
72,"Acuicultura","2017",917
72,"Alojamiento","2017",770
72,"Pesca","2017",2575
72,"Transporte","2017",340
72,"Turismo","2017",457
73,"Acuicultura","2017",42
73,"Alojamiento","2017",4
73,"Pesca","2017",2
73,"Transporte","2017",19
74,"Acuicultura","2017",0
74,"Alojamiento","2017",7
74,"Transporte","2017",0
74,"Turismo","2017",6
75,"Acuicultura","2017",80
75,"Alojamiento","2017",3
75,"Pesca","2017",59
75,"Transporte","2017",11
75,"Turismo","2017",0
76,"Acuicultura","2017",708
76,"Alojamiento","2017",50
76,"Pesca","2017",1261
76,"Transporte","2017",63
76,"Turismo","2017",16
77,"Acuicultura","2017",195
77,"Alojamiento","2017",5
77,"Pesca","2017",35
78,"Acuicultura","2017",243
78,"Alojamiento","2017",14
78,"Pesca","2017",10
78,"Transporte","2017",12
78,"Turismo","2017",0
79,"Acuicultura","2017",35
79,"Alojamiento","2017",38
79,"Pesca","2017",433
79,"Transporte","2017",143
79,"Turismo","2017",40
80,"Alojamiento","2017",3
80,"Transporte","2017",2
81,"Alojamiento","2017",0
82,"Alojamiento","2017",3
82,"Transporte","2017",0
82,"Turismo","2017",0
83,"Acuicultura","2017",37
83,"Alojamiento","2017",45
83,"Pesca","2017",848
83,"Transporte","2017",20
83,"Turismo","2017",0
84,"Alojamiento","2017",23
85,"Acuicultura","2017",4
85,"Alojamiento","2017",23
85,"Pesca","2017",6
85,"Transporte","2017",0
85,"Turismo","2017",12
86,"Alojamiento","2017",250
86,"Pesca","2017",0
86,"Turismo","2017",233
87,"Alojamiento","2017",4
87,"Pesca","2017",250
87,"Transporte","2017",1
87,"Turismo","2017",1
88,"Acuicultura","2017",223
88,"Alojamiento","2017",45
88,"Pesca","2017",3715
88,"Transporte","2017",108
88,"Turismo","2017",23
89,"Acuicultura","2017",4
89,"Alojamiento","2017",31
89,"Pesca","2017",55
89,"Turismo","2017",0
90,"Alojamiento","2017",5
90,"Turismo","2017",1
91,"Alojamiento","2017",0
91,"Turismo","2017",0
92,"Acuicultura","2017",1
92,"Alojamiento","2017",6
92,"Pesca","2017",15
92,"Transporte","2017",0
92,"Turismo","2017",0
93,"Acuicultura","2017",80
93,"Alojamiento","2017",17
93,"Pesca","2017",23
93,"Transporte","2017",30
93,"Turismo","2017",13
