"rgn_id","year","habitat","km2"
52,"2018","Kelp forest",0.503229365602982
53,"2018","Kelp forest",72.3589507771072
54,"2018","Kelp forest",140.515656123251
55,"2018","Kelp forest",45.0132879818011
56,"2018","Kelp forest",49.5889021838381
57,"2018","Kelp forest",685.74022493831
58,"2018","Kelp forest",7.3750814315666
59,"2018","Kelp forest",3355239.00792482
60,"2018","Kelp forest",4.49623141889593
61,"2018","Kelp forest",83.8201904818545
62,"2018","Kelp forest",2.98419756986382
63,"2018","Kelp forest",3.49234035130098
64,"2018","Kelp forest",21.945360042939
65,"2018","Kelp forest",58.07580380181
66,"2018","Kelp forest",31.3687295067611
67,"2018","Kelp forest",5694.26502153822
68,"2018","Kelp forest",2858.64529520615
69,"2018","Kelp forest",12.0973502501025
70,"2018","Kelp forest",144.458488918427
71,"2018","Kelp forest",
72,"2018","Kelp forest",2838493.19249552
73,"2018","Kelp forest",84.0353891306773
74,"2018","Kelp forest",110.841827289854
75,"2018","Kelp forest",5437.32426251733
76,"2018","Kelp forest",41548.9007586567
77,"2018","Kelp forest",1325.78567994895
78,"2018","Kelp forest",1594.16147469575
79,"2018","Kelp forest",1.41954405701517
80,"2018","Kelp forest",21.0583015397028
81,"2018","Kelp forest",84769.6882967346
82,"2018","Kelp forest",9.9443991777411
83,"2018","Kelp forest",0.145565396056557
84,"2018","Kelp forest",1015.66256932922
85,"2018","Kelp forest",240.17540332195
86,"2018","Kelp forest",2.21504929036838
87,"2018","Kelp forest",4.28443560032888
88,"2018","Kelp forest",11.2557199357201
89,"2018","Kelp forest",1991.49935311714
90,"2018","Kelp forest",22.1747877677199
91,"2018","Kelp forest",24684.1698680952
92,"2018","Kelp forest",667.523079200927
93,"2018","Kelp forest",154.973387865177
94,"2018","Kelp forest",6.83064350976775
95,"2018","Kelp forest",104.528689513811
96,"2018","Kelp forest",26.4894249513584
97,"2018","Kelp forest",245089.031527375
98,"2018","Kelp forest",0.13250178146976
99,"2018","Kelp forest",127.861975935148
100,"2018","Kelp forest",0.813772168252721
101,"2018","Kelp forest",13.6666384003281
102,"2018","Kelp forest",1.60196397636271
103,"2018","Kelp forest",1.80970681674199
1,"2019","Kelp forest",1.25872477448242
2,"2019","Kelp forest",1859.80995199986
3,"2019","Kelp forest",212.909312330592
4,"2019","Kelp forest",208.583121915978
5,"2019","Kelp forest",3.63222480588524
6,"2019","Kelp forest",398187.482809628
7,"2019","Kelp forest",5052375.59601177
8,"2019","Kelp forest",500.254890746938
9,"2019","Kelp forest",1611.05749909275
10,"2019","Kelp forest",0.603779310161132
11,"2019","Kelp forest",23.3355556110941
12,"2019","Kelp forest",14.2324637250771
13,"2019","Kelp forest",22.2598008629189
14,"2019","Kelp forest",0.0403861578995225
15,"2019","Kelp forest",0.272658073633252
16,"2019","Kelp forest",298.23874620059
17,"2019","Kelp forest",8469.37324076055
18,"2019","Kelp forest",765.629267250399
19,"2019","Kelp forest",7.47220601782547
20,"2019","Kelp forest",516.848360738401
21,"2019","Kelp forest",197930.452576278
22,"2019","Kelp forest",18.0661031996561
23,"2019","Kelp forest",14.0812503241893
24,"2019","Kelp forest",0.431169639062782
25,"2019","Kelp forest",
26,"2019","Kelp forest",28.7541146283186
27,"2019","Kelp forest",128.607234696231
28,"2019","Kelp forest",17.0199894770944
29,"2019","Kelp forest",590.468352861003
30,"2019","Kelp forest",1332.3962224842
31,"2019","Kelp forest",21.8254097550093
32,"2019","Kelp forest",1.0114119443731
33,"2019","Kelp forest",204.060485560936
34,"2019","Kelp forest",0.0789368661220526
35,"2019","Kelp forest",0.188274653408095
36,"2019","Kelp forest",513.748634592132
37,"2019","Kelp forest",70.3461471107302
38,"2019","Kelp forest",10172.8975266811
39,"2019","Kelp forest",303.637752157844
40,"2019","Kelp forest",21.2711724082405
41,"2019","Kelp forest",47.4014681968884
42,"2019","Kelp forest",257.925901883969
43,"2019","Kelp forest",58.3506760858626
44,"2019","Kelp forest",117.210905171632
45,"2019","Kelp forest",3.55694696045275
46,"2019","Kelp forest",19.8553338198953
47,"2019","Kelp forest",77.1825356252137
48,"2019","Kelp forest",75.5676746274631
49,"2019","Kelp forest",326.005352563414
50,"2019","Kelp forest",1.30800045238555
51,"2019","Kelp forest",1.88938929133728
52,"2019","Kelp forest",0.494171237022128
53,"2019","Kelp forest",71.0564896631192
54,"2019","Kelp forest",137.986374313033
55,"2019","Kelp forest",44.2030487981287
56,"2019","Kelp forest",48.696301944529
57,"2019","Kelp forest",673.396900889421
