"rgn_id","producto","year","tonnes"
43,"Aceite","2017",5786.5
43,"Aceite","2018",8176
43,"Aceite","2019",1806
43,"Aceite","2020",2025
43,"Aceite","2021",6585
43,"Algas","2017",35268
43,"Algas","2018",31220
43,"Algas","2019",47675
43,"Algas","2020",48861
43,"Algas","2021",56463
43,"Harina","2017",100873.5
43,"Harina","2018",89240
43,"Harina","2019",75328
43,"Harina","2020",37177
43,"Harina","2021",52061
44,"Algas","2017",3918
44,"Algas","2018",1350
44,"Algas","2019",3351
44,"Algas","2020",4009
44,"Algas","2021",4594
45,"Algas","2017",6960
45,"Algas","2018",4668
45,"Algas","2019",6328
45,"Algas","2020",6505
45,"Algas","2021",4758
46,"Algas","2017",12
46,"Algas","2018",7
46,"Algas","2019",61
49,"Algas","2017",591
49,"Algas","2018",72
49,"Algas","2019",95
49,"Algas","2020",875
49,"Algas","2021",199
50,"Algas","2017",8
50,"Algas","2018",12
50,"Algas","2021",3
51,"Algas","2018",4
54,"Algas","2017",17717
54,"Algas","2018",11847
54,"Algas","2019",16512
54,"Algas","2020",17671
54,"Algas","2021",12596
55,"Algas","2017",11
55,"Algas","2018",28
55,"Algas","2020",42
55,"Algas","2021",9
56,"Algas","2018",9
57,"Algas","2017",4
57,"Algas","2018",11
58,"Aceite","2017",3662.5
58,"Aceite","2018",4379
58,"Aceite","2019",939
58,"Aceite","2020",771
58,"Aceite","2021",2372
58,"Algas","2017",6390.5
58,"Algas","2018",4796
58,"Algas","2019",5197
58,"Algas","2020",4968
58,"Algas","2021",4874
58,"Harina","2017",43453.5
58,"Harina","2018",41512
58,"Harina","2019",25908
58,"Harina","2020",17603
58,"Harina","2021",22025
60,"Algas","2017",3
60,"Algas","2019",43
61,"Algas","2017",31631
61,"Algas","2018",18009
61,"Algas","2019",28360
61,"Algas","2020",30519
61,"Algas","2021",29377
62,"Algas","2017",72
62,"Algas","2018",78
62,"Algas","2019",286
62,"Algas","2020",271
62,"Algas","2021",305
63,"Algas","2017",653
63,"Algas","2018",68
63,"Algas","2019",29
63,"Algas","2020",433
63,"Algas","2021",306
64,"Algas","2017",103
64,"Algas","2018",215
64,"Algas","2019",326
64,"Algas","2020",3
64,"Algas","2021",2
65,"Algas","2018",27
66,"Algas","2017",861.5
66,"Algas","2018",789
66,"Algas","2019",178
66,"Algas","2020",272
66,"Algas","2021",232
67,"Algas","2017",2
69,"Algas","2017",97
69,"Algas","2018",68
69,"Algas","2019",116
69,"Algas","2020",184
69,"Algas","2021",147
70,"Aceite","2017",4079.5
70,"Aceite","2018",4366
70,"Aceite","2019",372
70,"Aceite","2020",180
70,"Aceite","2021",945
70,"Algas","2017",8115.5
70,"Algas","2018",6548
70,"Algas","2019",10061
70,"Algas","2020",13348
70,"Algas","2021",6933
70,"Harina","2017",7273.5
70,"Harina","2018",7828
70,"Harina","2019",874
70,"Harina","2020",382
70,"Harina","2021",1983
72,"Algas","2017",13075.5
72,"Algas","2018",8839
72,"Algas","2019",7379
72,"Algas","2020",7108
72,"Algas","2021",1459
74,"Algas","2017",14
74,"Algas","2018",28
75,"Algas","2017",3161
75,"Algas","2018",3923
75,"Algas","2019",4402
75,"Algas","2020",5446
75,"Algas","2021",6305
76,"Algas","2017",2090
76,"Algas","2018",1958
76,"Algas","2019",1769
76,"Algas","2020",1144
76,"Algas","2021",484
78,"Algas","2017",32
78,"Algas","2018",9
78,"Algas","2019",6
78,"Algas","2020",8
79,"Algas","2017",23382.5
79,"Algas","2018",21034
79,"Algas","2019",28425
79,"Algas","2020",17451
79,"Algas","2021",24268
80,"Algas","2017",4
83,"Aceite","2017",583.333333333314
83,"Aceite","2018",371
83,"Aceite","2019",414
83,"Aceite","2020",74
83,"Aceite","2021",0
83,"Algas","2017",937.5
83,"Algas","2018",942
83,"Algas","2019",1128
83,"Algas","2020",956
83,"Algas","2021",2164
83,"Harina","2017",2616.66666666674
83,"Harina","2018",1684
83,"Harina","2019",1660
83,"Harina","2020",273
83,"Harina","2021",0
85,"Algas","2017",959
85,"Algas","2018",98
85,"Algas","2019",1
85,"Algas","2020",531
85,"Algas","2021",854
86,"Algas","2017",74
88,"Aceite","2017",10352.5
88,"Aceite","2018",9025
88,"Aceite","2019",7277
88,"Aceite","2020",4481
88,"Aceite","2021",4622
88,"Algas","2017",28550
88,"Algas","2018",25203
88,"Algas","2019",16082
88,"Algas","2020",24390
88,"Algas","2021",19320
88,"Harina","2017",29442
88,"Harina","2018",26013
88,"Harina","2019",19077
88,"Harina","2020",14388
88,"Harina","2021",12219
89,"Algas","2017",66792
89,"Algas","2018",44200
89,"Algas","2019",79745
89,"Algas","2020",75008
89,"Algas","2021",78982
92,"Algas","2017",16
92,"Algas","2018",4
92,"Algas","2020",56
92,"Algas","2021",22
93,"Algas","2017",13949
93,"Algas","2018",6923
93,"Algas","2019",27720
93,"Algas","2020",32553
93,"Algas","2021",37769
95,"Algas","2017",1279
95,"Algas","2018",88
95,"Algas","2020",614
95,"Algas","2021",844
99,"Aceite","2017",5355.66666666669
99,"Aceite","2018",0
99,"Aceite","2019",6218
99,"Aceite","2020",5416
99,"Aceite","2021",6728
99,"Algas","2017",34
99,"Algas","2018",20
99,"Algas","2019",30
99,"Algas","2020",68
99,"Algas","2021",37
99,"Harina","2017",49978
99,"Harina","2018",51375
99,"Harina","2019",15097
99,"Harina","2020",14280
99,"Harina","2021",17891
100,"Algas","2017",516
100,"Algas","2018",516
100,"Algas","2019",837
100,"Algas","2020",1854
100,"Algas","2021",2274
101,"Algas","2017",187
101,"Algas","2018",49
101,"Algas","2020",63
101,"Algas","2021",24
103,"Algas","2017",1
103,"Algas","2018",3
103,"Algas","2019",4
