"rgn_id","resilience_score"
1,0.595238095238095
2,0.523809523809524
3,0.380952380952381
4,1
5,0
6,0.0238095238095238
7,0.0952380952380952
8,0.523809523809524
9,0.0238095238095238
10,0
11,0.261904761904762
12,1
13,0.0952380952380952
14,0.595238095238095
15,0.595238095238095
16,0.523809523809524
17,0.523809523809524
18,0.0238095238095238
19,0
20,0.523809523809524
21,0.0238095238095238
22,0
23,0.523809523809524
24,0
25,0.595238095238095
26,1
27,0.0238095238095238
28,0.261904761904762
29,1
30,0.404761904761905
31,0.523809523809524
32,0
33,0.523809523809524
34,0.595238095238095
35,0.595238095238095
36,0.0238095238095238
37,0.523809523809524
38,0.0238095238095238
39,0.523809523809524
40,1
41,0.0952380952380952
42,0.0238095238095238
43,0.0952380952380952
44,0.261904761904762
45,0.595238095238095
46,0.261904761904762
47,0.404761904761905
48,0.0952380952380952
49,1
50,0
51,0.0238095238095238
52,1
53,0.523809523809524
54,0.261904761904762
55,1
56,0.404761904761905
57,0.523809523809524
58,0.380952380952381
59,0.0952380952380952
60,0.0238095238095238
61,0.261904761904762
62,0.595238095238095
63,0.0238095238095238
64,0
65,1
66,0.0238095238095238
67,0.0952380952380952
68,0.0952380952380952
69,0.595238095238095
70,0.523809523809524
71,0.523809523809524
72,0.0952380952380952
73,0.523809523809524
74,0.523809523809524
75,0.523809523809524
76,0.523809523809524
77,0.523809523809524
78,0.523809523809524
79,0.595238095238095
80,0.523809523809524
81,0.0952380952380952
82,0.0952380952380952
83,0.595238095238095
84,0.0952380952380952
85,0.404761904761905
86,1
87,0.595238095238095
88,1
89,0.380952380952381
90,0.0952380952380952
91,0.0952380952380952
92,1
93,0.380952380952381
94,0.0952380952380952
95,1
96,0.0952380952380952
97,0.0238095238095238
98,0
99,0.404761904761905
100,0.595238095238095
101,0
102,0.595238095238095
103,0.595238095238095
