"rgn_id","year","trend"
1,2021,0.00212677929387723
2,2021,0.0949864792533143
3,2021,7.94531799643292e-09
4,2021,1
5,2021,-5.84700855869952e-08
6,2021,1.89104927383766e-06
7,2021,1.6104623733484e-05
8,2021,0.0780283397915579
9,2021,-8.00472254926341e-09
10,2021,2.0722292510931e-08
11,2021,-9.00381225981079e-08
12,2021,0.0774937688309303
13,2021,-3.63585870887029e-07
14,2021,0.00701847022612998
15,2021,-1.04046922306378e-07
16,2021,0.0373185823880722
17,2021,0.157064985736746
18,2021,-2.31282338211739e-08
19,2021,0.0365073113938364
20,2021,0.021711709472271
21,2021,1.53733232860993e-06
22,2021,-6.3818898311359e-07
23,2021,0.00848133184925557
24,2021,1
25,2021,0.00638048975958735
26,2021,0.0639763009360176
27,2021,-1.15790559590962e-07
28,2021,2.96763960105201e-06
29,2021,6.76526534520051e-08
30,2021,-0.0301311507022809
31,2021,0.00780212091118254
32,2021,0.0056166509972911
33,2021,0.0251031784201464
34,2021,1.97514406513873e-09
35,2021,-3.30330519404279e-07
36,2021,-2.56494666246953e-08
37,2021,9.19984744690707e-08
38,2021,0
39,2021,0.0373158345537756
40,2021,0.191145662848494
41,2021,1.79015106796235e-08
42,2021,-1.15481498769568e-07
43,2021,1.61716004404872e-09
44,2021,-1.94427391541519e-09
45,2021,0.00567142478727316
46,2021,1.65752344478536e-08
47,2021,0.000678552660528088
48,2021,4.99224750865223e-07
49,2021,0.0297035880748854
50,2021,0.00298359883249475
51,2021,0.621344038972189
52,2021,0.0154985566517229
53,2021,0.0892185405596697
54,2021,-5.33330314343713e-07
55,2021,-4.01187475064128e-08
56,2021,-0.0921676474369933
57,2021,0.0176417747907232
58,2021,0
59,2021,2.34584853437196e-05
60,2021,-1
61,2021,2.16363893316699e-07
62,2021,0.030484120570191
63,2021,-0.707770110813
64,2021,-8.22449370157907e-08
65,2021,0
66,2021,1
67,2021,1.44306972181533e-05
68,2021,1.73456507774326e-05
69,2021,0.0113430160752418
70,2021,0.132299480843064
71,2021,0.132303839979541
72,2021,5.76909591700423e-06
73,2021,3.45075800908399e-06
74,2021,4.06924083326202e-08
75,2021,0.0468145112580034
76,2021,0.119071586466931
77,2021,0.0400312855544841
78,2021,0.0173035447051859
79,2021,0.0141784633809827
80,2021,0.00203535847331051
81,2021,7.02793196843749e-06
82,2021,4.54615295396729e-15
83,2021,0.00978554086422077
84,2021,1.00114145375908e-19
85,2021,0.0949837119227158
86,2021,0.000438793244382729
87,2021,0.0609679952446956
88,2021,0.405537740370346
89,2021,5.91098675221057e-08
90,2021,1.25546316993205e-06
91,2021,2.43261903123535e-06
92,2021,0.0180816995524414
93,2021,1.62548289150079e-08
94,2021,1.28661439333207e-06
95,2021,-6.91736371003332e-08
96,2021,1.11677031393869e-06
97,2021,7.80491064033288e-06
98,2021,0.0274774015183222
99,2021,-0.00531729652840457
100,2021,0.00708934632645131
101,2021,0.000263075807081735
102,2021,0.0389914089205725
103,2021,0.00212681690931431
