"rgn_id","Sector","year","gdp_usd"
54,"Turismo","2017",
55,"Acuicultura","2017",
55,"Alojamiento","2017",
55,"Pesca","2017",58179519.112
55,"Transporte","2017",
55,"Turismo","2017",
57,"Acuicultura","2017",0
56,"Alojamiento","2017",996678.6752
56,"Pesca","2017",
56,"Transporte","2017",
56,"Turismo","2017",
57,"Acuicultura","2017",0
57,"Alojamiento","2017",
57,"Pesca","2017",962501.8816
57,"Transporte","2017",
57,"Turismo","2017",
58,"Acuicultura","2017",
58,"Alojamiento","2017",3227512.048
58,"Pesca","2017",
58,"Transporte","2017",
59,"Acuicultura","2017",0
59,"Alojamiento","2017",5485352.4432
59,"Pesca","2017",27282709.4768
59,"Transporte","2017",0
59,"Turismo","2017",2745484.648
60,"Acuicultura","2017",
60,"Alojamiento","2017",218636.4336
60,"Pesca","2017",
60,"Turismo","2017",
61,"Acuicultura","2017",
61,"Alojamiento","2017",131991.32
61,"Pesca","2017",5545293.1152
61,"Transporte","2017",
61,"Turismo","2017",
62,"Acuicultura","2017",
62,"Alojamiento","2017",
62,"Pesca","2017",
62,"Transporte","2017",
62,"Turismo","2017",
63,"Acuicultura","2017",
63,"Alojamiento","2017",
63,"Pesca","2017",
63,"Transporte","2017",
63,"Turismo","2017",
64,"Acuicultura","2017",
64,"Alojamiento","2017",525648.4912
64,"Pesca","2017",401764.808
64,"Transporte","2017",
64,"Turismo","2017",
65,"Acuicultura","2017",
65,"Alojamiento","2017",
65,"Pesca","2017",
65,"Transporte","2017",
66,"Acuicultura","2017",
66,"Alojamiento","2017",2309913.0672
66,"Pesca","2017",
66,"Transporte","2017",
66,"Turismo","2017",
67,"Acuicultura","2017",
67,"Alojamiento","2017",1222309.0864
67,"Pesca","2017",1766419.5024
67,"Transporte","2017",
67,"Turismo","2017",
68,"Alojamiento","2017",
69,"Acuicultura","2017",
69,"Alojamiento","2017",222775.9008
69,"Pesca","2017",
69,"Transporte","2017",
69,"Turismo","2017",
70,"Acuicultura","2017",5477181376.832
70,"Alojamiento","2017",5291693.5376
70,"Pesca","2017",124575429.6672
70,"Transporte","2017",326638115.944
70,"Turismo","2017",2092094.9056
71,"Acuicultura","2017",190936837.9184
71,"Alojamiento","2017",1629499.2176
71,"Pesca","2017",
71,"Transporte","2017",0
71,"Turismo","2017",5153124.5696
72,"Acuicultura","2017",7786906.9968
72,"Alojamiento","2017",42291851.9472
72,"Pesca","2017",103604824.9888
72,"Transporte","2017",0
72,"Turismo","2017",6714387.9952
73,"Acuicultura","2017",0
73,"Alojamiento","2017",0
73,"Pesca","2017",
73,"Transporte","2017",
74,"Turismo","2017",
74,"Acuicultura","2017",
74,"Alojamiento","2017",
74,"Transporte","2017",
74,"Turismo","2017",
75,"Acuicultura","2017",1045085.7584
75,"Alojamiento","2017",
75,"Pesca","2017",1912881.648
75,"Transporte","2017",
75,"Turismo","2017",
76,"Acuicultura","2017",360677767.6064
76,"Alojamiento","2017",519175.1504
76,"Pesca","2017",14885701.6432
76,"Transporte","2017",0
76,"Turismo","2017",
77,"Acuicultura","2017",
77,"Alojamiento","2017",
77,"Pesca","2017",
77,"Transporte","2017",
77,"Turismo","2017",
78,"Acuicultura","2017",3595936.768
78,"Alojamiento","2017",
78,"Pesca","2017",
78,"Transporte","2017",0
78,"Turismo","2017",
79,"Acuicultura","2017",
79,"Alojamiento","2017",197168.4832
79,"Pesca","2017",0
79,"Transporte","2017",
79,"Turismo","2017",
80,"Acuicultura","2017",
80,"Alojamiento","2017",
80,"Pesca","2017",
80,"Transporte","2017",
81,"Río Verde","2017",
81,"Alojamiento","2017",
82,"Acuicultura","2017",
82,"Alojamiento","2017",
82,"Pesca","2017",
82,"Transporte","2017",
82,"Turismo","2017",
83,"Acuicultura","2017",
83,"Alojamiento","2017",737211.368
83,"Pesca","2017",128481203.7792
83,"Transporte","2017",
83,"Turismo","2017",
84,"Alojamiento","2017",
85,"Acuicultura","2017",
85,"Alojamiento","2017",0
85,"Pesca","2017",
85,"Transporte","2017",
85,"Turismo","2017",
86,"Alojamiento","2017",5675252.6928
86,"Pesca","2017",
86,"Turismo","2017",3106147.4736
87,"Alojamiento","2017",
87,"Pesca","2017",
87,"Transporte","2017",
87,"Turismo","2017",
88,"Acuicultura","2017",
88,"Alojamiento","2017",393163.5104
88,"Pesca","2017",34278990.3776
88,"Transporte","2017",
88,"Turismo","2017",
89,"Acuicultura","2017",
89,"Alojamiento","2017",1141957.024
89,"Pesca","2017",1868756.5552
89,"Turismo","2017",
90,"Alojamiento","2017",
90,"Pesca","2017",
90,"Transporte","2017",
90,"Turismo","2017",
91,"Alojamiento","2017",
91,"Turismo","2017",
92,"Acuicultura","2017",
92,"Alojamiento","2017",0
92,"Pesca","2017",
92,"Transporte","2017",
92,"Turismo","2017",
93,"Acuicultura","2017",6455195.3936
93,"Alojamiento","2017",0
93,"Pesca","2017",
93,"Transporte","2017",
93,"Turismo","2017",
94,"Acuicultura","2017",
94,"Alojamiento","2017",
94,"Pesca","2017",348761.464
94,"Transporte","2017",
94,"Turismo","2017",
95,"Acuicultura","2017",
95,"Alojamiento","2017",709129.352
95,"Pesca","2017",0
95,"Transporte","2017",
95,"Turismo","2017",
96,"Alojamiento","2017",
96,"Transporte","2017",
96,"Turismo","2017",
97,"Alojamiento","2017",
97,"Transporte","2017",
97,"Turismo","2017",
98,"Alojamiento","2017",
98,"Turismo","2017",
99,"Acuicultura","2017",7209220.0032
99,"Alojamiento","2017",7988610.1456
99,"Pesca","2017",12066488.44
99,"Transporte","2017",9509379.8976
99,"Turismo","2017",676599.4432
100,"Acuicultura","2017",
100,"Alojamiento","2017",6530816.3152
100,"Pesca","2017",3496502.3328
100,"Transporte","2017",218019531.1456
100,"Turismo","2017",7259947.472
101,"Alojamiento","2017",
101,"Pesca","2017",
101,"Turismo","2017",
102,"Acuicultura","2017",
102,"Alojamiento","2017",8249133.1136
102,"Pesca","2017",
102,"Transporte","2017",
102,"Turismo","2017",19846751.248
103,"Zapallar","2017",
103,"Acuicultura","2017",
103,"Alojamiento","2017",
103,"Pesca","2017",
103,"Turismo","2017",
1,"Alojamiento","2018",307777.7264
1,"Pesca","2018",
1,"Turismo","2018",
2,"Acuicultura","2018",25282405.3568
2,"Alojamiento","2018",1420622.7008
2,"Pesca","2018",7698068.7344
2,"Transporte","2018",
2,"Turismo","2018",
3,"Acuicultura","2018",
3,"Alojamiento","2018",11346263.4096
3,"Pesca","2018",
3,"Transporte","2018",
3,"Turismo","2018",1535036.0096
4,"Acuicultura","2018",
4,"Alojamiento","2018",2703240.6816
4,"Pesca","2018",1148914.1344
4,"Transporte","2018",
4,"Turismo","2018",
5,"Acuicultura","2018",
5,"Alojamiento","2018",2698522.1296
5,"Pesca","2018",19642019.5936
