"rgn_id","score"
1,0.634448841502272
2,0.655795372325922
3,0.989282639047232
4,0.753716151122686
5,0.989282639047232
6,0.610723422597172
7,0.610723422597172
8,0.655795372325922
9,0.989282639047232
10,0.989282639047232
11,0.634448841502272
12,0.753716151122686
13,0.655795372325922
14,0.634448841502272
15,0.634448841502272
16,0.655795372325922
17,0.655795372325922
18,0.989282639047232
19,0.753716151122686
20,0.655795372325922
21,0.610723422597172
22,0.753716151122686
23,0.655795372325922
24,0.753716151122686
25,0.634448841502272
26,0.753716151122686
27,0.989282639047232
28,0.634448841502272
29,0.753716151122686
30,0.655795372325922
31,0.655795372325922
32,0.753716151122686
33,0.655795372325922
34,0.634448841502272
35,0.634448841502272
36,0.989282639047232
37,0.655795372325922
38,0.610723422597172
39,0.655795372325922
40,0.753716151122686
41,0.989282639047232
42,0.989282639047232
43,0.989282639047232
44,0.634448841502272
45,0.634448841502272
46,0.634448841502272
47,0.655795372325922
49,0.753716151122686
50,0.753716151122686
51,0.753716151122686
53,0.655795372325922
54,0.634448841502272
55,0.753716151122686
56,0.655795372325922
57,0.655795372325922
58,0.989282639047232
59,0.610723422597172
60,0.753716151122686
61,0.634448841502272
62,0.634448841502272
63,0.753716151122686
64,0.753716151122686
65,0.753716151122686
66,0.753716151122686
67,0.610723422597172
69,0.634448841502272
70,0.655795372325922
71,0.655795372325922
72,0.610723422597172
73,0.655795372325922
74,0.655795372325922
75,0.655795372325922
76,0.655795372325922
77,0.655795372325922
78,0.655795372325922
79,0.634448841502272
80,0.655795372325922
82,0.655795372325922
83,0.634448841502272
85,0.655795372325922
86,0.753716151122686
88,0.753716151122686
89,0.989282639047232
92,0.753716151122686
93,0.989282639047232
94,0.655795372325922
95,0.753716151122686
97,0.610723422597172
99,0.655795372325922
100,0.634448841502272
101,0.753716151122686
102,0.634448841502272
103,0.634448841502272
