"rgn_id","year","trend"
1,2021,0.546878562466482
2,2021,0.449017723633384
3,2021,0.385395118329182
4,2021,0.285029074867101
5,2021,0.465115702489206
6,2021,0.774184410339219
7,2021,1
8,2021,0.311721387672987
9,2021,0.832329217678396
10,2021,0.383108042650809
11,2021,0.203369600764386
12,2021,0.231268814322654
13,2021,0.266820680834398
14,2021,0.477976671348344
15,2021,0.26543073176295
16,2021,0.651449679975528
17,2021,0.419485376108798
18,2021,0.48482857049354
19,2021,0.128796425782118
20,2021,0.227821155960618
21,2021,1
22,2021,0.10066680419881
23,2021,0.153403952103345
24,2021,0.210894473544236
25,2021,0.30209936849859
26,2021,0.368247611938234
27,2021,0.473458316291135
28,2021,0.473420944885596
29,2021,0.282453816610387
30,2021,0.252431604995996
31,2021,0.217065892105393
32,2021,0.10386114643275
33,2021,0.289090231206894
34,2021,0.67036592890933
35,2021,0.355184186767313
36,2021,0.454605055326145
37,2021,0.251005817269852
38,2021,0.591876665583854
39,2021,0.428261465270713
40,2021,0.207061500547378
41,2021,0.406067426481455
42,2021,0.710069136833325
43,2021,0.448644072256351
44,2021,0.43767950213693
45,2021,0.304621514585449
46,2021,0.499702086674236
47,2021,0.298336013794523
48,2021,0.496343096321555
49,2021,0.393259356191896
50,2021,0.277495310694322
51,2021,0.270412804740016
52,2021,0.194198376366313
53,2021,0.164275739157968
54,2021,0.654928718113733
55,2021,0.215655516354563
56,2021,0.252535969756829
57,2021,0.234946444140105
58,2021,0.971061364381768
59,2021,0.717989418368081
60,2021,0.177198051387265
61,2021,0.410222679662107
62,2021,0.318848916077065
63,2021,0.115334942079859
64,2021,0.349520851724068
65,2021,0.136592165791163
66,2021,0.433259545122741
67,2021,0.398761492023679
68,2021,1
69,2021,0.250415819607549
70,2021,0.433184254547881
71,2021,0.383630514663896
72,2021,0.446529867254234
73,2021,0.140242314164588
74,2021,0.191723380452341
75,2021,0.172158352817849
76,2021,0.324184851139074
77,2021,0.147675176646363
78,2021,0.23707633064172
79,2021,0.30416645499382
80,2021,0.204942229638135
81,2021,-3.33468162355126e-15
82,2021,0.14163830200127
83,2021,0.283465781436634
84,2021,0.80837502691216
85,2021,0.0532643570357499
86,2021,0.303594619528408
87,2021,0.388979638980089
88,2021,0.21145589220135
89,2021,0.710459631256682
90,2021,0.13532581763435
91,2021,0.444735392450978
92,2021,0.13493753852402
93,2021,0.616839466032386
94,2021,0.178476773543889
95,2021,0.304672033483811
96,2021,0.247813980136463
97,2021,1
98,2021,0.113512689871634
99,2021,0.362388036561865
100,2021,0.373888356264752
101,2021,0.106811981664637
102,2021,0.486465655374996
103,2021,0.303389858352711
