"region_id","year","status"
"Algarrobo",2017,0.424986761
"Algarrobo",2018,0.367409858
"Algarrobo",2019,0.095797196
"Algarrobo",2020,0.114394834
"Algarrobo",2021,0.189902745
"Ancud",2017,0.411916097
"Ancud",2018,0.072539876
"Ancud",2019,0.14250596
"Ancud",2020,0.262928032
"Ancud",2021,0.137167184
"Antofagasta",2017,0.40439911
"Antofagasta",2018,0.203100977
"Antofagasta",2019,0.057596951
"Antofagasta",2020,0.15490763
"Antofagasta",2021,0.135803994
"Arauco",2017,0.234196925
"Arauco",2018,0.386956861
"Arauco",2019,0.135484484
"Arauco",2020,0.191791224
"Arauco",2021,0.116821496
"Arica",2017,0.039151719
"Arica",2018,0.379006604
"Arica",2019,0.066878088
"Arica",2020,0.28591351
"Arica",2021,0.399058862
"Aysen",2017,0.384378015
"Aysen",2018,0.060885868
"Aysen",2019,0.18001283
"Aysen",2020,0.192132289
"Aysen",2021,0.318362023
"Cabo de Hornos",2017,0.361085241
"Cabo de Hornos",2018,0.533941814
"Cabo de Hornos",2019,0.241316228
"Cabo de Hornos",2020,0.345873897
"Cabo de Hornos",2021,0.155468467
"Calbuco",2017,0.423778171
"Calbuco",2018,0.114862316
"Calbuco",2019,0.068611149
"Calbuco",2020,0.248902143
"Calbuco",2021,0.3143664
"Caldera",2017,0.434459711
"Caldera",2018,0.243934723
"Caldera",2019,0.068999343
"Caldera",2020,0.152897263
"Caldera",2021,0.273080713
"Camarones",2018,0.049031953
"Camarones",2019,0.312079323
"Camarones",2020,0.410102105
"Camarones",2021,0.191164562
"Canela",2017,0.484135635
"Canela",2018,0.251213504
"Canela",2019,0.123606533
"Canela",2020,0.357243541
"Canela",2021,0.412477206
"Canete",2017,0.366129246
"Canete",2018,0.082621151
"Carahue",2017,0.384254148
"Carahue",2018,0.24496962
"Carahue",2019,0.379954414
"Carahue",2020,0.199657068
"Carahue",2021,0.088517462
"Cartagena",2017,0.454352032
"Cartagena",2018,0.195734186
"Casablanca",2017,0.419268135
"Casablanca",2018,0.208733423
"Casablanca",2019,0.108089733
"Casablanca",2020,0.143481954
"Casablanca",2021,0.147574391
"Castro",2017,0.1523227
"Castro",2018,0.405400143
"Castro",2019,0.130043686
"Castro",2020,0.082780448
"Castro",2021,0.424786775
"Chaiten",2017,0.42417911
"Chaiten",2018,0.33679182
"Chaiten",2019,0.243781918
"Chaiten",2020,0.285300364
"Chaiten",2021,0.045491777
"Chanaral",2017,0.418314026
"Chanaral",2018,0.153753657
"Chanaral",2019,0.084063889
"Chanaral",2020,0.115914958
"Chanaral",2021,0.114730408
"Chanco",2017,0.347774839
"Chanco",2018,0.430639402
"Chanco",2019,0.117409251
"Chanco",2020,0.272491873
"Chanco",2021,0.145305775
"Chonchi",2017,0.453561763
"Chonchi",2018,0.555224848
"Chonchi",2019,0.294795738
"Chonchi",2020,0.226701092
"Chonchi",2021,0.293393741
"Cisnes",2017,0.052062222
"Cisnes",2018,0.125670655
"Cisnes",2019,0.257835263
"Cisnes",2020,0.425239107
"Cisnes",2021,0.225049692
"Cobquecura",2017,0.342360961
"Cobquecura",2018,0.478892691
"Cobquecura",2019,0.495891134
"Cobquecura",2020,0.225957723
"Cobquecura",2021,0.148395262
"Cochamo",2017,0.512485774
"Cochamo",2018,0.333355231
"Cochamo",2019,0.245218983
"Cochamo",2020,0.17377247
"Cochamo",2021,0.206502129
"Coelemu",2017,0.044286673
"Coelemu",2018,0.060256708
"Coelemu",2019,0.209539952
"Coelemu",2020,0.246157854
"Coelemu",2021,0.387476134
"Concon",2017,0.586064563
"Concon",2018,0.295431685
"Concon",2019,0.186911803
"Concon",2020,0.214538281
"Concon",2021,0.227161256
"Constitucion",2017,0.06564333
"Constitucion",2018,0.393974757
"Constitucion",2019,0.086025471
"Constitucion",2020,0.162583396
"Constitucion",2021,0.178139769
"Coquimbo",2017,0.310988498
"Coquimbo",2018,0.046421903
"Coquimbo",2019,0.212252317
"Coquimbo",2020,0.280023122
"Coquimbo",2021,0.390043381
"Coronel",2017,0.201134201
"Coronel",2018,0.057460858
"Coronel",2019,0.336293068
"Coronel",2020,0.282107908
"Coronel",2021,0.436690875
"Corral",2017,0.132938816
"Corral",2018,0.035673081
"Corral",2019,0.370861737
"Corral",2020,0.133287615
"Corral",2021,0.305203711
"Curaco de Velez",2017,0.420201978
"Curaco de Velez",2018,0.482174217
