"rgn_id","pressure_score"
2,0.0618044175430802
3,0.133669291409622
4,0.015793009427481
6,0.171649529030349
7,0.0238792443531667
8,0.292416427220402
9,0.619757869773813
11,0.148108443006851
12,0.00306924260977396
13,0.0676971323391615
16,0.545982301854131
17,0.0407563777875768
18,0.0366391786126035
19,0.0101142957121995
20,0.249043285335857
21,0.0514086475678436
22,0.0019585368204792
23,0.461876590539088
24,0.00748125030438461
26,0.00467551382898724
27,0.114527592838538
28,0.775066934349171
29,0.000472652156191567
30,0.0176659110514354
31,0.944188738262954
33,1
38,0.0378114582850243
39,0.167862683390773
42,0.0308447860417519
44,0.1192693202054
45,0.00160232720209318
46,0.0297104206750909
47,0.00189282924158943
49,0.0131564473123789
52,0.000464817279636716
53,0.000274220581962916
54,0.160580393413949
55,0.00592795974499694
56,0.0238681083201978
57,0.00803160680424474
58,0.0766594387258833
59,0.278124924784284
61,0.0208498886643869
64,0.00898095469223056
65,0.000320045642688197
67,0.0837278331248991
70,0.260732052925413
72,0.0520996860773832
73,0.637390933009009
74,0.00246632560735872
75,0.0916730902758117
76,0.0723635984070181
77,0.0828804668272157
78,0.250680065274192
80,0.000421955316284952
81,0.329304035614914
82,0.139810862613507
85,0.00222500499519133
90,0.000362641651703421
91,0.000642948480358531
92,0.00410505859869969
94,0.0130408493394038
95,0.0123625457988789
96,0.0423423106446113
99,0.00376295180532491
