"rgn_id","pressures_score"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,0.970832903518505
32,0.962971077211853
33,0.960909383640814
34,0.910318866054907
35,0.802856826911361
36,0.796922339307832
37,0.773142905124626
38,0.747489441985737
39,0.744400596720338
40,0.721695656454496
41,0.712961471358166
42,0.67243709716399
43,0.67214190855204
44,0.663252313976209
45,0.662977655394321
46,0.568056022594333
47,0.536849489805173
48,0.512628163304708
49,0.504581507430782
50,0.499260714358982
51,0.461974309964427
52,0.452058007041758
53,0.445205975807897
54,0.442203076318037
55,0.438465583089822
56,0.430045741512508
57,0.421779913183611
58,0.417687478158249
59,0.416308789038561
60,0.403259465219241
61,0.387208850837931
62,0.370535045998395
63,0.367921450747426
64,0.363780536272761
65,0.353056120327155
66,0.349218358657539
67,0.349042464832817
68,0.335226410174346
69,0.334581401809123
70,0.302643823195486
71,0.29810911877657
72,0.295180359066912
73,0.293496754510408
74,0.288789916268369
75,0.287237972825525
76,0.27561109528367
77,0.266060650619344
78,0.265970766227975
79,0.262369083507092
80,0.2576652193107
81,0.248988155214761
82,0.24768734707279
83,0.244348760342309
84,0.230441657318294
85,0.208352854732715
86,0.191244517202005
87,0.159176084733232
88,0.142881508719946
89,0.139027767263349
90,0.127256626911118
91,0.121896396969811
92,0.118240596278772
93,0.111078558561085
94,0.110002032925063
95,0.0612728712940601
96,0.0539738293138276
97,0.0450371421273817
98,0.0409430833150195
99,0.037089189166187
100,0.0364252159054117
101,0.0360461583404266
102,0.024839763858179
103,0.0100659463873179
