"rgn_id","year","jobs"
1,"2017",12681.0404507247
2,"2017",29596.6933950877
3,"2017",251757.680182118
4,"2017",35778.6062140223
5,"2017",77800.934978097
6,"2017",48549.9883925767
7,"2017",977.563704293225
8,"2017",25098.7753204584
9,"2017",12258.2080080289
10,"2017",407.352248238914
11,"2017",5691.48087059188
12,"2017",34071.6580260407
13,"2017",197251.667970853
14,"2017",21218.293898108
15,"2017",24801.1938721612
16,"2017",32511.4396201397
17,"2017",3490.12652098072
18,"2017",6997.19380793313
19,"2017",72452.3017807075
20,"2017",10991.0952266146
21,"2017",11327.6076560676
22,"2017",54310.5967452738
23,"2017",2832.04844804882
24,"2017",171429.366597327
25,"2017",38859.0380958919
26,"2017",275838.086286268
27,"2017",123926.909130932
28,"2017",144133.021323818
29,"2017",114509.488080495
30,"2017",4582.33559643785
31,"2017",2795.60535987793
32,"2017",53165.7187672491
33,"2017",10294.4715796558
34,"2017",14788.1565877799
35,"2017",11954.2949358283
36,"2017",5557.96413735289
37,"2017",8884.40439889009
38,"2017",3105.47990571045
39,"2017",6592.69481583648
40,"2017",89842.8715217501
41,"2017",2466.01170267085
42,"2017",8090.31764745573
43,"2017",182071.171894684
44,"2017",2600.77081660613
45,"2017",32769.5348796625
46,"2017",140403.10307561
47,"2017",33112.3481537298
48,"2017",135.95256814674
49,"2017",25171.4095606672
50,"2017",38501.0355380862
51,"2017",82667.9774877715
52,"2017",20628.272543367
53,"2017",12426.3922376525
54,"2017",13409.5285867086
55,"2017",42926.1012004991
56,"2017",18993.5955958311
57,"2017",10493.5069073583
58,"2017",8531.66527649541
59,"2017",11297.5090145675
60,"2017",83878.8602828319
61,"2017",70554.259637442
62,"2017",5298.55441658153
63,"2017",80220.9851727535
64,"2017",43072.9988301143
65,"2017",46152.1024035244
66,"2017",214200.121101211
67,"2017",3446.12370540454
68,"2017",350.588307601849
69,"2017",16875.6550544943
70,"2017",181219.563387284
71,"2017",32436.4509579419
72,"2017",67964.3321992471
73,"2017",2941.37771256147
74,"2017",14781.8772250051
75,"2017",3867.17231782563
76,"2017",19972.9148034999
77,"2017",6151.17278607386
78,"2017",5865.23470965616
79,"2017",30059.621235773
80,"2017",10073.0097361558
81,"2017",4.82565377063358
82,"2017",100013.725614296
83,"2017",84145.5383652473
84,"2017",348.098333826268
85,"2017",5462.25825392043
86,"2017",129180.268399324
87,"2017",10014.8207089578
88,"2017",147734.215625533
89,"2017",8464.37772850171
90,"2017",122383.273044315
91,"2017",142.426499963251
92,"2017",10179.0574035765
93,"2017",17736.2060329278
94,"2017",78732.720638293
95,"2017",54289.5525548821
96,"2017",472.099027850218
97,"2017",1098.25543332109
98,"2017",5240.49920143723
99,"2017",144757.465102702
100,"2017",274720.505178268
101,"2017",24463.3327118348
102,"2017",311105.04167436
103,"2017",6783.25537646174
1,"2018",12921.3154468274
2,"2018",29462.0388281261
3,"2018",267026.833664389
4,"2018",36959.8858867447
5,"2018",79280.678865581
6,"2018",48689.0109310814
7,"2018",1021.39324811292
8,"2018",25163.3294915338
9,"2018",12737.8824031747
10,"2018",408.405094319603
11,"2018",5859.08731252625
12,"2018",35252.7273593126
13,"2018",201397.493833437
14,"2018",21596.5354167664
15,"2018",25106.0723771575
16,"2018",32599.0101262486
17,"2018",3474.07034525645
18,"2018",7291.67326196173
19,"2018",74738.1237589904
20,"2018",11002.3835693697
21,"2018",11355.3263200211
22,"2018",55570.1893364744
23,"2018",2805.44413606515
24,"2018",176098.418761877
25,"2018",39391.220541504
26,"2018",285220.421547991
27,"2018",130802.74800783
28,"2018",151429.455136248
29,"2018",118975.669323868
30,"2018",4508.09297587677
31,"2018",2796.38982281569
32,"2018",54431.3345536089
33,"2018",10319.1311618524
34,"2018",15085.6779874636
35,"2018",12195.4188147668
36,"2018",5861.1819612937
37,"2018",8822.38353315226
38,"2018",3114.2552953211
39,"2018",6579.69978982312
40,"2018",92863.0725697133
41,"2018",2403.58507393833
42,"2018",8553.2273723923
43,"2018",178099.067658291
44,"2018",2695.73611300628
45,"2018",32939.8919669724
46,"2018",147424.767413833
47,"2018",32621.717842353
48,"2018",140.130171235004
49,"2018",25965.3615485757
50,"2018",39733.9031540459
51,"2018",84248.8098289528
52,"2018",21380.8614219203
53,"2018",12367.4954131353
54,"2018",13985.8298200218
55,"2018",44117.6339854144
56,"2018",18876.9658991714
57,"2018",10406.1918661741
58,"2018",9124.05446513391
59,"2018",11957.7746120537
60,"2018",85648.0804134591
61,"2018",73238.9002672694
62,"2018",5355.81994866778
63,"2018",80788.7952927192
64,"2018",44966.2572784143
65,"2018",47664.7514217813
66,"2018",219812.688184253
67,"2018",3661.03047367303
68,"2018",362.781443308399
69,"2018",17153.1950778003
70,"2018",182649.875238929
71,"2018",32778.7034199688
72,"2018",71750.7996773956
73,"2018",2923.15020830821
74,"2018",14684.7031193639
75,"2018",3848.08313102283
76,"2018",20038.5881923363
77,"2018",6113.05441465836
78,"2018",5810.77964925312
79,"2018",30676.9069952974
80,"2018",9984.12157162214
81,"2018",4.98492562485077
82,"2018",101757.148106608
83,"2018",84522.0888713945
84,"2018",359.148438868973
85,"2018",5390.10232597027
86,"2018",135568.980760459
87,"2018",10188.3190695709
88,"2018",152130.535584081
89,"2018",8832.30083604895
90,"2018",124891.340406965
91,"2018",147.396180113856
92,"2018",10518.1751436488
93,"2018",18385.8814773357
94,"2018",80057.9416891725
95,"2018",56097.575647197
96,"2018",504.468616446014
97,"2018",1105.62948576782
98,"2018",5423.64456629503
99,"2018",143738.459988334
100,"2018",275938.454123715
