"rgn_id","pressure_score"
1,0.666666666666667
2,0
3,0.666666666666667
4,0
5,0.666666666666667
6,0.666666666666667
7,0.333333333333333
8,0.666666666666667
9,0.333333333333333
10,0.333333333333333
11,0.333333333333333
12,1
13,0.333333333333333
14,0.333333333333333
15,0.333333333333333
16,0.666666666666667
17,0.333333333333333
18,1
19,0.666666666666667
20,0.333333333333333
21,0.333333333333333
22,0
23,0.333333333333333
24,0.333333333333333
25,0.333333333333333
26,0.333333333333333
27,0.333333333333333
28,0.333333333333333
29,0.333333333333333
30,0.333333333333333
31,0.333333333333333
32,0
33,0.333333333333333
34,0
35,0
36,0.333333333333333
37,0.333333333333333
38,0.333333333333333
39,0.666666666666667
40,0
41,0.333333333333333
42,0.333333333333333
43,0.666666666666667
44,0.666666666666667
45,0.666666666666667
46,0
47,0.333333333333333
48,0.666666666666667
49,0.333333333333333
50,0.333333333333333
51,0.333333333333333
52,0
53,0.333333333333333
54,0
55,0.333333333333333
56,0.333333333333333
57,0.333333333333333
58,0.333333333333333
59,0.333333333333333
60,0
61,0.333333333333333
62,0.333333333333333
63,0
64,0.333333333333333
65,0.666666666666667
66,0.333333333333333
67,0.666666666666667
68,0.333333333333333
69,0.333333333333333
70,0.666666666666667
71,0.666666666666667
72,0.666666666666667
73,0.333333333333333
74,0.333333333333333
75,0.333333333333333
76,0.333333333333333
77,0.333333333333333
78,0.333333333333333
79,0.333333333333333
80,0.333333333333333
81,0.333333333333333
82,0.333333333333333
83,0.333333333333333
84,0.333333333333333
85,0.333333333333333
86,0.666666666666667
87,0.333333333333333
88,0.333333333333333
89,0.666666666666667
90,0.333333333333333
91,0.333333333333333
92,0.333333333333333
93,0.666666666666667
94,0.333333333333333
95,0.333333333333333
96,0.333333333333333
97,0.333333333333333
98,0
99,0.666666666666667
100,0.333333333333333
101,0
102,0.333333333333333
103,0.333333333333333
