"region_id","dimension","score"
1,"status",97.2727272727273
2,"status",96.426116838488
3,"status",96.1425576519916
4,"status",97.037037037037
5,"status",96.1904761904762
6,"status",96.5957446808511
7,"status",95.7142857142857
8,"status",97.037037037037
9,"status",97.0204841713222
10,"status",95
11,"status",96.7386091127098
12,"status",73.3333333333333
13,"status",99.1534391534392
14,"status",96.078431372549
15,"status",97.429718875502
16,"status",96.9660678642715
17,"status",96.9739952718676
18,"status",97.1717171717172
19,"status",98.6394557823129
20,"status",97.5757575757576
21,"status",96.0416666666667
22,"status",96.9082125603865
23,"status",98.5454545454545
24,"status",98
25,"status",96.3636363636364
26,"status",97.0186335403727
27,"status",97.8666666666667
28,"status",95.7894736842105
29,"status",97.948717948718
30,"status",97.8181818181818
31,"status",99.4444444444444
32,"status",98.7301587301587
33,"status",98.5964912280702
34,"status",97.7777777777778
35,"status",97.2413793103448
36,"status",97.1014492753623
37,"status",100
38,"status",97.1631205673759
39,"status",97.9770114942529
40,"status",96.4679911699779
41,"status",96.4444444444445
42,"status",96.7932489451477
43,"status",96.7521367521367
44,"status",96.2130177514793
45,"status",97.6255707762557
46,"status",95.8518518518518
47,"status",100
48,"status",100
49,"status",94.6666666666667
50,"status",96.7041198501873
51,"status",97.7777777777778
53,"status",98.974358974359
54,"status",97.184265010352
55,"status",96.6666666666667
56,"status",97.1631205673759
57,"status",97.4358974358974
58,"status",96.2666666666667
59,"status",96.7386091127098
60,"status",97.7777777777778
61,"status",98.6324786324786
62,"status",96.8
63,"status",97.7142857142857
64,"status",97.7060931899642
65,"status",96.6366366366366
66,"status",97.7260981912145
67,"status",96.1181434599156
68,"status",97.9310344827586
69,"status",95.4509803921569
70,"status",97.536231884058
71,"status",100
72,"status",95.3672316384181
73,"status",100
74,"status",93.3333333333333
75,"status",97
76,"status",98.4313725490196
77,"status",97.3913043478261
78,"status",98.2222222222222
79,"status",95.8666666666667
80,"status",96.8627450980392
81,"status",96.6244725738397
82,"status",97.2508591065292
84,"status",96.9523809523809
85,"status",98.3333333333333
83,"status",97.4193548387097
86,"status",98.8888888888889
87,"status",95.5555555555556
88,"status",96.8810916179337
89,"status",96.9122807017544
90,"status",97.5757575757576
91,"status",97.5975975975976
92,"status",99.0123456790123
93,"status",97.5
94,"status",98.5185185185185
95,"status",98.8014981273408
96,"status",100
97,"status",97.3333333333333
98,"status",98.5388127853881
99,"status",97.1830985915493
100,"status",95.7815442561205
101,"status",99.1534391534392
102,"status",95.5555555555556
103,"status",97.2823779193206
