"rgn_id","year","percent"
1,"2017",7.39927501003043
2,"2017",3.81952712429196
3,"2017",8.52692316493938
4,"2017",7.68088491563878
5,"2017",7.27841277985863
6,"2017",3.16433718895058
7,"2017",3.51103108543265
8,"2017",3.81952712429196
9,"2017",8.52692316493938
10,"2017",7.27841277985863
11,"2017",8.08614153767252
12,"2017",7.68088491563878
13,"2017",8.22856224464848
14,"2017",7.39927501003043
15,"2017",7.39927501003043
16,"2017",3.81952712429196
17,"2017",3.81952712429196
18,"2017",7.25539211559502
19,"2017",5.59044926787559
20,"2017",3.81952712429196
21,"2017",3.16433718895058
22,"2017",7.68088491563878
23,"2017",3.81952712429196
24,"2017",7.68088491563878
25,"2017",7.39927501003043
26,"2017",5.59044926787559
27,"2017",7.25539211559502
28,"2017",8.08614153767252
29,"2017",7.68088491563878
30,"2017",4.65793470536209
31,"2017",3.81952712429196
32,"2017",5.59044926787559
33,"2017",3.81952712429196
34,"2017",7.39927501003043
35,"2017",7.39927501003043
36,"2017",7.25539211559502
37,"2017",3.81952712429196
38,"2017",3.16433718895058
39,"2017",3.81952712429196
40,"2017",7.68088491563878
41,"2017",7.27841277985863
42,"2017",7.25539211559502
43,"2017",7.27841277985863
44,"2017",8.08614153767252
45,"2017",7.39927501003043
46,"2017",8.08614153767252
47,"2017",4.65793470536209
48,"2017",3.51103108543265
49,"2017",7.68088491563878
50,"2017",5.59044926787559
51,"2017",6.74729663234427
52,"2017",7.68088491563878
53,"2017",3.81952712429196
54,"2017",8.08614153767252
55,"2017",7.68088491563878
56,"2017",4.65793470536209
57,"2017",3.81952712429196
58,"2017",8.52692316493938
59,"2017",3.51103108543265
60,"2017",6.74729663234427
61,"2017",8.08614153767252
62,"2017",7.39927501003043
63,"2017",6.74729663234427
64,"2017",5.59044926787559
65,"2017",7.68088491563878
66,"2017",6.74729663234427
67,"2017",3.51103108543265
68,"2017",3.51103108543265
69,"2017",7.39927501003043
70,"2017",3.81952712429196
71,"2017",3.81952712429196
72,"2017",3.51103108543265
73,"2017",3.81952712429196
74,"2017",3.81952712429196
75,"2017",3.81952712429196
76,"2017",3.81952712429196
77,"2017",3.81952712429196
78,"2017",3.81952712429196
79,"2017",7.39927501003043
80,"2017",3.81952712429196
81,"2017",3.51103108543265
82,"2017",8.22856224464848
83,"2017",7.39927501003043
84,"2017",3.51103108543265
85,"2017",3.81952712429196
86,"2017",7.68088491563878
87,"2017",7.39927501003043
88,"2017",7.68088491563878
89,"2017",8.52692316493938
90,"2017",8.22856224464848
91,"2017",3.51103108543265
92,"2017",7.68088491563878
93,"2017",8.52692316493938
94,"2017",8.22856224464848
95,"2017",7.68088491563878
96,"2017",3.51103108543265
97,"2017",3.16433718895058
98,"2017",7.68088491563878
99,"2017",4.65793470536209
100,"2017",7.39927501003043
101,"2017",5.59044926787559
102,"2017",7.39927501003043
103,"2017",7.39927501003043
1,"2018",7.66250310811579
2,"2018",3.48910156497846
3,"2018",8.74487679334813
4,"2018",7.87033422595466
5,"2018",8.25769678102949
6,"2018",3.37130542124224
7,"2018",3.51457501844227
8,"2018",3.48910156497846
9,"2018",8.74487679334813
10,"2018",8.25769678102949
11,"2018",7.46789543992322
12,"2018",7.87033422595466
13,"2018",7.59719417994737
14,"2018",7.66250310811579
15,"2018",7.66250310811579
16,"2018",3.48910156497846
17,"2018",3.48910156497846
18,"2018",8.72957017958742
19,"2018",6.36448938779815
20,"2018",3.48910156497846
21,"2018",3.37130542124224
22,"2018",7.87033422595466
23,"2018",3.48910156497846
24,"2018",7.87033422595466
25,"2018",7.66250310811579
26,"2018",6.36448938779815
27,"2018",8.72957017958742
28,"2018",7.46789543992322
29,"2018",7.87033422595466
30,"2018",5.23835618355744
31,"2018",3.48910156497846
32,"2018",6.36448938779815
33,"2018",3.48910156497846
34,"2018",7.66250310811579
35,"2018",7.66250310811579
36,"2018",8.72957017958742
37,"2018",3.48910156497846
38,"2018",3.37130542124224
39,"2018",3.48910156497846
40,"2018",7.87033422595466
41,"2018",8.25769678102949
42,"2018",8.72957017958742
43,"2018",8.25769678102949
44,"2018",7.46789543992322
45,"2018",7.66250310811579
46,"2018",7.46789543992322
47,"2018",5.23835618355744
48,"2018",3.51457501844227
49,"2018",7.87033422595466
50,"2018",6.36448938779815
51,"2018",7.60533665076483
52,"2018",7.87033422595466
53,"2018",3.48910156497846
54,"2018",7.46789543992322
55,"2018",7.87033422595466
56,"2018",5.23835618355744
57,"2018",3.48910156497846
58,"2018",8.74487679334813
59,"2018",3.51457501844227
60,"2018",7.60533665076483
61,"2018",7.46789543992322
62,"2018",7.66250310811579
63,"2018",7.60533665076483
64,"2018",6.36448938779815
65,"2018",7.87033422595466
66,"2018",7.60533665076483
67,"2018",3.51457501844227
68,"2018",3.51457501844227
69,"2018",7.66250310811579
70,"2018",3.48910156497846
71,"2018",3.48910156497846
72,"2018",3.51457501844227
73,"2018",3.48910156497846
74,"2018",3.48910156497846
75,"2018",3.48910156497846
76,"2018",3.48910156497846
77,"2018",3.48910156497846
78,"2018",3.48910156497846
79,"2018",7.66250310811579
80,"2018",3.48910156497846
81,"2018",3.51457501844227
82,"2018",7.59719417994737
83,"2018",7.66250310811579
84,"2018",3.51457501844227
85,"2018",3.48910156497846
86,"2018",7.87033422595466
87,"2018",7.66250310811579
88,"2018",7.87033422595466
89,"2018",8.74487679334813
90,"2018",7.59719417994737
91,"2018",3.51457501844227
92,"2018",7.87033422595466
93,"2018",8.74487679334813
94,"2018",7.59719417994737
95,"2018",7.87033422595466
96,"2018",3.51457501844227
