"rgn_id","habitat","year","health"
36,"Playas y dunas",2017,100
37,"Macrocystis",2017,100
37,"Bosques y matorrales",2017,93.8871843285344
37,"Marismas y humedales",2017,40.0000000000001
37,"Playas y dunas",2017,59.1999999999999
38,"Macrocystis",2017,100
38,"Bosques y matorrales",2017,
38,"Marismas y humedales",2017,
38,"Playas y dunas",2017,
39,"Macrocystis",2017,100
39,"Bosques y matorrales",2017,93.6573263280794
39,"Marismas y humedales",2017,79.3867120954004
39,"Playas y dunas",2017,53.8839979285344
40,"Macrocystis",2017,100
40,"Bosques y matorrales",2017,99.1286863270778
40,"Marismas y humedales",2017,89.198606271777
40,"Playas y dunas",2017,68.0000000000001
41,"Macrocystis",2017,100
41,"Bosques y matorrales",2017,100
41,"Marismas y humedales",2017,100
41,"Playas y dunas",2017,93.9111870196413
42,"Macrocystis",2017,100
42,"Bosques y matorrales",2017,100
42,"Marismas y humedales",2017,100
42,"Playas y dunas",2017,100
43,"Macrocystis",2017,100
43,"Bosques y matorrales",2017,100
43,"Marismas y humedales",2017,100
43,"Playas y dunas",2017,93.3673779561068
44,"Macrocystis",2017,100
44,"Bosques y matorrales",2017,100
44,"Marismas y humedales",2017,41.4878397711016
44,"Playas y dunas",2017,80.4555935993291
45,"Macrocystis",2017,100
45,"Bosques y matorrales",2017,100
45,"Marismas y humedales",2017,
45,"Playas y dunas",2017,100
46,"Macrocystis",2017,100
46,"Bosques y matorrales",2017,100
46,"Marismas y humedales",2017,100
46,"Playas y dunas",2017,10.706106870229
47,"Macrocystis",2017,100
47,"Bosques y matorrales",2017,98.4564393939394
47,"Marismas y humedales",2017,86.3636363636364
47,"Playas y dunas",2017,94.7368421052632
48,"Macrocystis",2017,100
48,"Bosques y matorrales",2017,90.7692307692308
48,"Marismas y humedales",2017,66.0377358490564
48,"Playas y dunas",2017,13.6986301369863
49,"Macrocystis",2017,100
49,"Bosques y matorrales",2017,92.5502611999366
49,"Marismas y humedales",2017,25.2473558512453
49,"Playas y dunas",2017,70.2296281243649
50,"Macrocystis",2017,100
50,"Bosques y matorrales",2017,92.6586261143156
50,"Marismas y humedales",2017,83.2352941176471
50,"Playas y dunas",2017,56.5277777777778
51,"Macrocystis",2017,100
51,"Bosques y matorrales",2017,100
51,"Marismas y humedales",2017,98.0707395498392
51,"Playas y dunas",2017,79.0794979079498
52,"Macrocystis",2017,100
52,"Bosques y matorrales",2017,92.6966292134831
52,"Marismas y humedales",2017,68.1818181818182
52,"Playas y dunas",2017,88.6699507389163
53,"Macrocystis",2017,100
53,"Bosques y matorrales",2017,96.6337162703714
53,"Marismas y humedales",2017,89.4444444444444
53,"Playas y dunas",2017,73.3333333333333
54,"Macrocystis",2017,100
54,"Bosques y matorrales",2017,100
54,"Marismas y humedales",2017,92.684038593026
54,"Playas y dunas",2017,69.0725649980596
55,"Macrocystis",2017,100
55,"Bosques y matorrales",2017,80.1380608722938
55,"Marismas y humedales",2017,100
55,"Playas y dunas",2017,96.6666666666666
56,"Macrocystis",2017,100
56,"Bosques y matorrales",2017,97.0403502093643
56,"Marismas y humedales",2017,81.6666666666667
56,"Playas y dunas",2017,94.5454545454545
57,"Macrocystis",2017,100
57,"Bosques y matorrales",2017,88.6612810155799
57,"Marismas y humedales",2017,58.0500894454383
57,"Playas y dunas",2017,60.6382978723404
58,"Macrocystis",2017,100
58,"Bosques y matorrales",2017,
58,"Marismas y humedales",2017,100
58,"Playas y dunas",2017,99.8499522575365
59,"Macrocystis",2017,100
59,"Bosques y matorrales",2017,95.9183673469388
59,"Marismas y humedales",2017,88.0804671106651
59,"Playas y dunas",2017,84.3281608181979
60,"Macrocystis",2017,100
60,"Bosques y matorrales",2017,100
60,"Marismas y humedales",2017,83.8593327321912
60,"Playas y dunas",2017,64.6884272997034
61,"Macrocystis",2017,100
61,"Bosques y matorrales",2017,61.4979134636504
61,"Marismas y humedales",2017,100
61,"Playas y dunas",2017,23.0499424144069
62,"Macrocystis",2017,100
62,"Bosques y matorrales",2017,100
62,"Marismas y humedales",2017,59.1259640102827
62,"Playas y dunas",2017,30.3372721948531
63,"Macrocystis",2017,100
63,"Bosques y matorrales",2017,93.0555555555555
63,"Marismas y humedales",2017,85.8513189448441
63,"Playas y dunas",2017,46.1538461538462
64,"Macrocystis",2017,100
64,"Bosques y matorrales",2017,14.7300679299249
64,"Marismas y humedales",2017,41.9678714859438
64,"Playas y dunas",2017,98.0392156862745
65,"Macrocystis",2017,100
65,"Bosques y matorrales",2017,100
65,"Marismas y humedales",2017,33.3333333333334
65,"Playas y dunas",2017,76.9230769230769
66,"Macrocystis",2017,100
66,"Bosques y matorrales",2017,89.2852441753323
66,"Marismas y humedales",2017,89.0262751159196
66,"Playas y dunas",2017,100
67,"Macrocystis",2017,100
67,"Bosques y matorrales",2017,86.0709519572954
67,"Marismas y humedales",2017,95.5218356772761
67,"Playas y dunas",2017,85.2941176470588
68,"Macrocystis",2017,100
68,"Bosques y matorrales",2017,83.1077104178929
68,"Marismas y humedales",2017,52.5316455696203
68,"Playas y dunas",2017,79.3939393939394
69,"Macrocystis",2017,100
69,"Bosques y matorrales",2017,100
69,"Marismas y humedales",2017,58.0693815987935
69,"Playas y dunas",2017,42.3529411764706
70,"Macrocystis",2017,100
70,"Bosques y matorrales",2017,91.0636354409824
70,"Marismas y humedales",2017,98.8372093023256
70,"Playas y dunas",2017,100
71,"Macrocystis",2017,100
71,"Bosques y matorrales",2017,95.389461626575
71,"Marismas y humedales",2017,9.09090909090909
71,"Playas y dunas",2017,1.38775510204082
72,"Macrocystis",2017,100
72,"Bosques y matorrales",2017,100
72,"Marismas y humedales",2017,100
72,"Playas y dunas",2017,100
73,"Macrocystis",2017,100
73,"Bosques y matorrales",2017,100
73,"Marismas y humedales",2017,86.1538461538462
73,"Playas y dunas",2017,100
74,"Macrocystis",2017,100
74,"Bosques y matorrales",2017,99.3735126997232
74,"Marismas y humedales",2017,55
74,"Playas y dunas",2017,78.125
75,"Macrocystis",2017,100
75,"Bosques y matorrales",2017,100
75,"Marismas y humedales",2017,95.4954954954955
75,"Playas y dunas",2017,54.014598540146
76,"Macrocystis",2017,100
76,"Bosques y matorrales",2017,98.339599857288
76,"Marismas y humedales",2017,100
76,"Playas y dunas",2017,74.1379310344827
77,"Macrocystis",2017,100
77,"Bosques y matorrales",2017,94.7301486368333
77,"Marismas y humedales",2017,87.0098039215686
77,"Playas y dunas",2017,72.2222222222222
78,"Macrocystis",2017,100
78,"Bosques y matorrales",2017,92.296586573167
78,"Marismas y humedales",2017,97.7272727272727
78,"Playas y dunas",2017,90
79,"Macrocystis",2017,100
79,"Bosques y matorrales",2017,91.9621749408983
79,"Marismas y humedales",2017,75.7420675537359
79,"Playas y dunas",2017,45.6176319835981
80,"Macrocystis",2017,100
80,"Bosques y matorrales",2017,96.7557115233117
80,"Marismas y humedales",2017,67.8571428571428
80,"Playas y dunas",2017,93.4782608695652
81,"Macrocystis",2017,100
81,"Bosques y matorrales",2017,100
81,"Marismas y humedales",2017,100
81,"Playas y dunas",2017,100
82,"Macrocystis",2017,100
82,"Bosques y matorrales",2017,92.8305400372439
82,"Marismas y humedales",2017,73.0000000000003
82,"Playas y dunas",2017,79.2727272727273
83,"Macrocystis",2017,100
83,"Bosques y matorrales",2017,46.9519580137263
83,"Marismas y humedales",2017,32.3404255319148
83,"Playas y dunas",2017,100
84,"Macrocystis",2017,100
84,"Bosques y matorrales",2017,
84,"Marismas y humedales",2017,
84,"Playas y dunas",2017,
85,"Macrocystis",2017,100
85,"Bosques y matorrales",2017,96.7046414731505
85,"Marismas y humedales",2017,100
85,"Playas y dunas",2017,84.4827586206898
86,"Macrocystis",2017,100
86,"Bosques y matorrales",2017,100
86,"Marismas y humedales",2017,88.1578947368422
86,"Playas y dunas",2017,68.4931506849317
87,"Macrocystis",2017,100
87,"Bosques y matorrales",2017,100
87,"Marismas y humedales",2017,68.9127105666156
87,"Playas y dunas",2017,35.0109409190372
88,"Macrocystis",2017,100
88,"Bosques y matorrales",2017,98.5334057577407
88,"Marismas y humedales",2017,75
88,"Playas y dunas",2017,77.9069767441864
89,"Macrocystis",2017,100
89,"Bosques y matorrales",2017,100
89,"Marismas y humedales",2017,81.6102470265325
89,"Playas y dunas",2017,100
90,"Macrocystis",2017,100
90,"Bosques y matorrales",2017,92.3622300999036
90,"Marismas y humedales",2017,100
90,"Playas y dunas",2017,100
91,"Macrocystis",2017,100
91,"Bosques y matorrales",2017,100
91,"Marismas y humedales",2017,96.1437724140711
91,"Playas y dunas",2017,100
92,"Macrocystis",2017,100
92,"Bosques y matorrales",2017,87.7044760021572
92,"Marismas y humedales",2017,52.9147982062779
92,"Playas y dunas",2017,68.9335394126738
93,"Macrocystis",2017,100
93,"Bosques y matorrales",2017,71.4285714285714
93,"Marismas y humedales",2017,100
93,"Playas y dunas",2017,100
94,"Macrocystis",2017,100
94,"Bosques y matorrales",2017,96.7059336823735
94,"Marismas y humedales",2017,100
94,"Playas y dunas",2017,100
95,"Macrocystis",2017,100
95,"Bosques y matorrales",2017,99.5746943115366
95,"Marismas y humedales",2017,69.6517412935323
95,"Playas y dunas",2017,24.3478260869565
96,"Macrocystis",2017,100
96,"Bosques y matorrales",2017,96.2378126324714
96,"Marismas y humedales",2017,100
96,"Playas y dunas",2017,78.3333333333333
97,"Macrocystis",2017,100
97,"Bosques y matorrales",2017,40.7307130626944
97,"Marismas y humedales",2017,59.1945315527994
97,"Playas y dunas",2017,9.06536346976176
98,"Macrocystis",2017,100
98,"Bosques y matorrales",2017,90.0662251655629
98,"Marismas y humedales",2017,11.1111111111111
98,"Playas y dunas",2017,100
99,"Macrocystis",2017,100
99,"Bosques y matorrales",2017,98.5427706283119
99,"Marismas y humedales",2017,53.5211267605635
99,"Playas y dunas",2017,86.7924528301889
100,"Macrocystis",2017,100
100,"Bosques y matorrales",2017,100
100,"Marismas y humedales",2017,48.7179487179487
100,"Playas y dunas",2017,14.1491395793499
101,"Macrocystis",2017,100
101,"Bosques y matorrales",2017,98.391674550615
101,"Marismas y humedales",2017,96.7475477542592
101,"Playas y dunas",2017,100
102,"Macrocystis",2017,100
102,"Bosques y matorrales",2017,91.0344827586207
102,"Marismas y humedales",2017,100
102,"Playas y dunas",2017,63.6363636363636
103,"Macrocystis",2017,100
103,"Bosques y matorrales",2017,100
103,"Marismas y humedales",2017,43.7346437346437
103,"Playas y dunas",2017,100
1,"Macrocystis",2018,98.2318271119843
1,"Bosques y matorrales",2018,55.5263157894737
1,"Marismas y humedales",2018,52.1472392638036
1,"Playas y dunas",2018,99.4475138121548
2,"Macrocystis",2018,98.2318271119843
2,"Bosques y matorrales",2018,93.8561502830676
2,"Marismas y humedales",2018,100
2,"Playas y dunas",2018,78.2791185729277
3,"Macrocystis",2018,98.2318271119843
3,"Bosques y matorrales",2018,1.25391849529781
3,"Marismas y humedales",2018,1.33779264214047
3,"Playas y dunas",2018,97.6602172655397
4,"Macrocystis",2018,98.2318271119843
4,"Bosques y matorrales",2018,100
4,"Marismas y humedales",2018,96.7741935483871
4,"Playas y dunas",2018,71.4018691588786
5,"Macrocystis",2018,98.2318271119843
5,"Bosques y matorrales",2018,57.4675324675325
5,"Marismas y humedales",2018,100
5,"Playas y dunas",2018,86.9438790346031
6,"Macrocystis",2018,98.2318271119843
6,"Bosques y matorrales",2018,79.2673174278089
6,"Marismas y humedales",2018,51.1524990037543
6,"Playas y dunas",2018,43.969465648855
7,"Macrocystis",2018,98.2318271119843
7,"Bosques y matorrales",2018,75.3691671588895
7,"Marismas y humedales",2018,36.3920199850149
7,"Playas y dunas",2018,59.7927605594535
8,"Macrocystis",2018,98.2318271119843
8,"Bosques y matorrales",2018,100
8,"Marismas y humedales",2018,100
8,"Playas y dunas",2018,91
9,"Macrocystis",2018,98.2318271119843
9,"Bosques y matorrales",2018,59.4936708860759
9,"Marismas y humedales",2018,0.945945945945946
9,"Playas y dunas",2018,83.0536912751678
10,"Macrocystis",2018,98.2318271119843
10,"Bosques y matorrales",2018,57.5342465753425
10,"Marismas y humedales",2018,83.3333333333333
