"","rgn_id","rgn_name","Year","Xao"
"122",25,"Concon",2018,0.379210439829494
"123",25,"Concon",2019,0.275092315332502
"124",25,"Concon",2020,0.263035107875888
"125",25,"Concon",2021,0.268830762948888
"126",26,"Constitucion",2017,0.0846617345836557
"127",26,"Constitucion",2018,0.406163439527619
"128",26,"Constitucion",2019,0.100135354294104
"129",26,"Constitucion",2020,0.177464068438172
"130",26,"Constitucion",2021,0.193587455866371
"131",28,"Coquimbo",2017,0.329128529894273
"132",28,"Coquimbo",2018,0.0587342693901138
"133",28,"Coquimbo",2019,0.227379056946338
"134",28,"Coquimbo",2020,0.29887547543782
"135",28,"Coquimbo",2021,0.408733971601118
"136",29,"Coronel",2017,0.224616893047018
"137",29,"Coronel",2018,0.0754103200111377
"138",29,"Coronel",2019,0.366349958840982
"139",29,"Coronel",2020,0.316390292622608
"140",29,"Coronel",2021,0.468833120699839
"141",30,"Corral",2017,0.139218683406888
"142",30,"Corral",2018,0.0415732394159112
"143",30,"Corral",2019,0.377310665129274
"144",30,"Corral",2020,0.140678369780731
"145",30,"Corral",2021,0.310129851045016
"146",31,"Curaco de Velez",2017,0.495201978187304
"147",31,"Curaco de Velez",2018,0.529745741008979
"148",31,"Curaco de Velez",2019,0.312527878002317
"149",31,"Curaco de Velez",2020,0.252867459693306
"150",31,"Curaco de Velez",2021,0.0933046660093195
"151",32,"Curepto",2017,0.466045260398398
"152",32,"Curepto",2018,0.165002404973976
"153",32,"Curepto",2019,0.153122415100079
"154",32,"Curepto",2021,0.208556234163077
"155",33,"Dalcahue",2017,0.48530392029896
"156",33,"Dalcahue",2018,0.388556329387402
"157",33,"Dalcahue",2019,0.410491177122763
"158",33,"Dalcahue",2020,0.231982947788576
"159",33,"Dalcahue",2021,0.190174120365946
"160",34,"El quisco",2017,0.182724428374598
"161",34,"El quisco",2018,0.409824000707419
"162",34,"El quisco",2019,0.13634147108242
"163",34,"El quisco",2020,0.169376333543235
"164",34,"El quisco",2021,0.0900077052308214
"165",35,"El tabo",2017,0.281350715522585
"166",35,"El tabo",2018,0.370645407957912
"167",35,"El tabo",2019,0.112583024930564
"168",35,"El tabo",2020,0.143974744266464
"169",35,"El tabo",2021,0.0496654703407057
"170",36,"Freirina",2017,0.448645009053148
"171",36,"Freirina",2018,0.431727375332505
"172",36,"Freirina",2019,0.500727631332868
"173",36,"Freirina",2020,0.250305457869914
"174",36,"Freirina",2021,0.143678447006758
"175",37,"Fresia",2017,0.212254793916685
"176",37,"Fresia",2018,0.333333333333333
"177",37,"Fresia",2019,0.0595106898831827
"178",37,"Fresia",2020,0
"179",38,"Guaitecas",2017,0.143368813634754
"180",38,"Guaitecas",2018,0.164583004504635
"181",38,"Guaitecas",2019,0.345378858431948
"182",38,"Guaitecas",2020,0.336500177476414
"183",38,"Guaitecas",2021,0.418283311631276
"184",39,"Hualaihue",2017,0.438155415064817
"185",39,"Hualaihue",2018,0.454412239266254
"186",39,"Hualaihue",2019,0.316635661827287
"187",39,"Hualaihue",2020,0.173963444612401
"188",39,"Hualaihue",2021,0.443585951353786
"189",40,"Hualpen",2017,0.474696873036944
"190",40,"Hualpen",2018,0.42145071701151
"191",40,"Hualpen",2019,0.504693931509982
"192",40,"Hualpen",2020,0.208423744828055
"193",40,"Hualpen",2021,0.343071701705786
"194",41,"Huara",2017,0.487774689475028
"195",41,"Huara",2018,0.152214448118274
"196",41,"Huara",2019,0.288730327438565
"197",41,"Huara",2020,0.40820413657788
"198",41,"Huara",2021,0.496223618073834
"199",42,"Huasco",2017,0.475648671056093
"200",42,"Huasco",2018,0.325257199975528
"201",42,"Huasco",2019,0.128781924990325
"202",42,"Huasco",2020,0.143735285487238
"203",42,"Huasco",2021,0.234755132237101
"204",43,"Iquique",2017,0.170369396482432
"205",43,"Iquique",2018,0.0969354580212582
"206",43,"Iquique",2019,0.173866108564044
"207",43,"Iquique",2020,0.242928953706296
"208",43,"Iquique",2021,0.518912012354189
"209",44,"La higuera",2017,0.391978532653582
"210",44,"La higuera",2018,0.0882816160042967
"211",44,"La higuera",2019,0.365350970561082
"212",44,"La higuera",2020,0.161021290673089
"213",44,"La higuera",2021,0.409391462527702
"214",45,"La ligua",2017,0.373930526846622
"215",45,"La ligua",2018,0.361404048886751
"216",45,"La ligua",2019,0.415727056329806
"217",45,"La ligua",2020,0.230935982075344
"218",45,"La ligua",2021,0.0998629381486076
"219",46,"La serena",2017,0.111778333508522
"220",46,"La serena",2018,0.102857103461967
"221",46,"La serena",2019,0.383065497930363
"222",46,"La serena",2020,0.03720962341652
"223",46,"La serena",2021,0.0412159018421106
"224",47,"La union",2018,0.0287275565964091
"225",47,"La union",2019,0.0457455113192817
"226",47,"La union",2020,0
"227",47,"La union",2021,0.333333333333333
"228",49,"Lebu",2017,0.367067994769768
"229",49,"Lebu",2018,0.43701241900335
"230",49,"Lebu",2019,0.130756611718723
"231",49,"Lebu",2020,0.394320144019933
"232",49,"Lebu",2021,0.40438050676108
"233",50,"Licanten",2017,0.178403716263262
"234",50,"Licanten",2018,0.323592008472935
"235",50,"Licanten",2019,0.301075673131511
"236",50,"Licanten",2020,0.656642584161719
"237",50,"Licanten",2021,0.741514710545
"238",51,"Litueche",2017,0.40203227319601
"239",51,"Litueche",2018,0.0852228820143345
"240",51,"Litueche",2019,0.110530238057433
"241",51,"Litueche",2020,0.189431938802767
"242",51,"Litueche",2021,0.0663645710724233
"243",53,"Los Muermos",2017,0.178774565998411
"244",53,"Los Muermos",2018,0.228558973241513
"245",53,"Los Muermos",2019,0.149780202920791
"246",53,"Los Muermos",2020,0.147884548875386
"247",53,"Los Muermos",2021,0.479632696993136
"248",54,"Los vilos",2017,0.385505090052666
"249",54,"Los vilos",2018,0.273825866343289
"250",54,"Los vilos",2019,0.064370999043163
"251",54,"Los vilos",2020,0.340017033611148
"252",54,"Los vilos",2021,0.205221575671154
