rgn_id,rgn_name,Year,Xao
1,ALGARROBO,2017,51.95225503
1,ALGARROBO,2018,44.68826233
1,ALGARROBO,2019,22.1040715
1,ALGARROBO,2020,28.24013115
1,ALGARROBO,2021,28.1654941
2,ANCUD,2017,42.25716293
2,ANCUD,2018,7.040112922
2,ANCUD,2019,21.60550229
2,ANCUD,2020,32.04470119
2,ANCUD,2021,15.82060095
3,ANTOFAGASTA,2017,44.29168685
3,ANTOFAGASTA,2018,23.91163633
3,ANTOFAGASTA,2019,12.7794413
3,ANTOFAGASTA,2020,22.70000863
3,ANTOFAGASTA,2021,16.12047665
4,ARAUCO,2017,24.54213419
4,ARAUCO,2018,39.75966309
4,ARAUCO,2019,21.41151738
4,ARAUCO,2020,30.03081903
4,ARAUCO,2021,17.00163949
5,ARICA,2017,5.409173784
5,ARICA,2018,34.09030455
5,ARICA,2019,12.95040803
5,ARICA,2020,30.97722162
5,ARICA,2021,43.86529031
6,AYSEN,2017,43.90439036
6,AYSEN,2018,4.64766522
6,AYSEN,2019,22.53453733
6,AYSEN,2020,25.5305569
6,AYSEN,2021,37.44238406
7,CABO DE HORNOS,2017,49.94804346
7,CABO DE HORNOS,2018,53.48313428
7,CABO DE HORNOS,2019,38.81257577
7,CABO DE HORNOS,2020,56.82023634
7,CABO DE HORNOS,2021,31.94550482
8,CALBUCO,2017,44.12292809
8,CALBUCO,2018,7.764886734
8,CALBUCO,2019,16.70816155
8,CALBUCO,2020,29.49724012
8,CALBUCO,2021,34.20298251
9,CALDERA,2017,39.18737026
9,CALDERA,2018,18.75556141
9,CALDERA,2019,7.261926741
9,CALDERA,2020,17.66601741
9,CALDERA,2021,24.8836558
10,CAMARONES,2017,23.59413998
10,CAMARONES,2018,12.0530351
10,CAMARONES,2019,48.39609547
10,CAMARONES,2020,54.15741135
10,CAMARONES,2021,27.41169331
11,CANELA,2017,53.02367747
11,CANELA,2018,22.51294979
11,CANELA,2019,20.41119402
11,CANELA,2020,51.77241327
11,CANELA,2021,45.59360631
12,CANETE,2017,40.43039346
12,CANETE,2018,0.052769128
12,CANETE,2019,23.92981035
12,CANETE,2020,0.347269911
12,CANETE,2021,33.95413483
13,CARAHUE,2017,40.65373706
13,CARAHUE,2018,28.01254972
13,CARAHUE,2019,41.10145447
13,CARAHUE,2020,25.76149421
13,CARAHUE,2021,9.441468262
14,CARTAGENA,2017,57.64811938
14,CARTAGENA,2018,7.558044046
14,CARTAGENA,2019,4.194269697
14,CARTAGENA,2020,5.024688688
14,CARTAGENA,2021,8.173540563
15,CASABLANCA,2017,53.72147029
15,CASABLANCA,2018,23.89846575
15,CASABLANCA,2019,12.49067868
15,CASABLANCA,2020,36.04526509
15,CASABLANCA,2021,33.79467604
16,CASTRO,2017,21.86600911
16,CASTRO,2018,40.59676844
16,CASTRO,2019,28.61420426
16,CASTRO,2020,18.65442028
16,CASTRO,2021,48.08240028
17,CHAITEN,2017,41.0807094
17,CHAITEN,2018,33.17585482
17,CHAITEN,2019,25.53232375
17,CHAITEN,2020,32.59731442
17,CHAITEN,2021,4.00503997
18,CHANARAL,2017,45.5573283
18,CHANARAL,2018,20.19333012
18,CHANARAL,2019,15.80378218
18,CHANARAL,2020,20.94342145
18,CHANARAL,2021,14.15982765
19,CHANCO,2017,39.7483557
19,CHANCO,2018,43.09857052
19,CHANCO,2019,13.68371262
19,CHANCO,2020,40.30234551
19,CHANCO,2021,22.57858797
20,CHONCHI,2017,50.45984957
20,CHONCHI,2018,43.26137982
20,CHONCHI,2019,46.40849509
20,CHONCHI,2020,28.57459126
20,CHONCHI,2021,36.9338715
21,CISNES,2017,9.069556556
21,CISNES,2018,15.20988435
21,CISNES,2019,32.64260155
21,CISNES,2020,53.75949911
21,CISNES,2021,28.72829237
22,COBQUECURA,2017,32.36593806
22,COBQUECURA,2018,40.18607419
22,COBQUECURA,2019,57.93168046
22,COBQUECURA,2020,33.70148682
22,COBQUECURA,2021,16.49453777
23,COCHAMO,2017,50.608067
23,COCHAMO,2018,22.70974521
23,COCHAMO,2019,29.99171375
23,COCHAMO,2020,26.17758517
23,COCHAMO,2021,23.1599822
24,COELEMU,2017,7.705650908
24,COELEMU,2018,9.981876002
24,COELEMU,2019,24.97367136
24,COELEMU,2020,30.02126888
24,COELEMU,2021,41.27174613
25,CONCON,2017,61.41895995
25,CONCON,2018,19.85517926
25,CONCON,2019,35.40594023
25,CONCON,2020,45.31505274
25,CONCON,2021,28.88557469
26,CONSTITUCION,2017,9.597803986
26,CONSTITUCION,2018,39.59891805
26,CONSTITUCION,2019,15.27233808
26,CONSTITUCION,2020,23.12318539
26,CONSTITUCION,2021,19.97144306
27,COPIAPO,NA,NA
28,COQUIMBO,2017,32.07086615
28,COQUIMBO,2018,2.997368329
28,COQUIMBO,2019,25.14112605
28,COQUIMBO,2020,30.68528652
28,COQUIMBO,2021,39.85260314
29,CORONEL,2017,18.5479027
29,CORONEL,2018,3.451096751
29,CORONEL,2019,35.75373556
29,CORONEL,2020,31.24768633
29,CORONEL,2021,43.10725694
30,CORRAL,2017,12.92406843
30,CORRAL,2018,2.977331173
30,CORRAL,2019,38.05977315
30,CORRAL,2020,13.95130314
30,CORRAL,2021,29.94508256
31,CURACO DE VELEZ,2017,46.30273557
31,CURACO DE VELEZ,2018,47.91791307
31,CURACO DE VELEZ,2019,47.67592563
31,CURACO DE VELEZ,2020,33.11994294
31,CURACO DE VELEZ,2021,6.12673922
32,CUREPTO,2017,58.01399488
32,CUREPTO,2018,34.73249968
32,CUREPTO,2019,31.68113298
32,CUREPTO,2021,28.32515992
33,DALCAHUE,2017,51.35272667
33,DALCAHUE,2018,37.91668628
33,DALCAHUE,2019,52.29048906
33,DALCAHUE,2020,32.68259635
33,DALCAHUE,2021,22.78954784
34,EL QUISCO,2017,25.73484022
34,EL QUISCO,2018,42.25717035
34,EL QUISCO,2019,12.48277953
