"","rgn_id","rgn_name","Year","newXao"
"123",25,"Concon",2019,0.356643490844631
"124",25,"Concon",2020,0.358928169400462
"125",25,"Concon",2021,0.351888144836147
"126",26,"Constitucion",2017,0.125018505413638
"127",26,"Constitucion",2018,0.4586104950934
"128",26,"Constitucion",2019,0.160047498477216
"129",26,"Constitucion",2020,0.243404181070259
"130",26,"Constitucion",2021,0.25408785522732
"131",28,"Coquimbo",2017,0.359536830474186
"132",28,"Coquimbo",2018,0.0908664666756782
"133",28,"Coquimbo",2019,0.252268544632692
"134",28,"Coquimbo",2020,0.32706035383659
"135",28,"Coquimbo",2021,0.435061490610564
"136",29,"Coronel",2017,0.250628176830129
"137",29,"Coronel",2018,0.109016939637545
"138",29,"Coronel",2019,0.407051097906767
"139",29,"Coronel",2020,0.369198799240491
"140",29,"Coronel",2021,0.521674854851047
"141",30,"Corral",2017,0.166050255016871
"142",30,"Corral",2018,0.0757670051574675
"143",30,"Corral",2019,0.411457306804061
"144",30,"Corral",2020,0.177448953670227
"145",30,"Corral",2021,0.341857634333508
"146",31,"Curaco de Velez",2017,0.563524186920805
"147",31,"Curaco de Velez",2018,0.613926423156905
"148",31,"Curaco de Velez",2019,0.390708941583078
"149",31,"Curaco de Velez",2020,0.306413327408084
"150",31,"Curaco de Velez",2021,0.12475786454804
"151",32,"Curepto",2017,0.623820158608738
"152",32,"Curepto",2018,0.352685956450623
"153",32,"Curepto",2019,0.333333333333333
"154",32,"Curepto",2021,0.385066068312142
"155",33,"Dalcahue",2017,0.547433874292805
"156",33,"Dalcahue",2018,0.466374198692742
"157",33,"Dalcahue",2019,0.484868734678133
"158",33,"Dalcahue",2020,0.324465390209515
"159",33,"Dalcahue",2021,0.275004076101216
"160",34,"El quisco",2017,0.238148422328247
"161",34,"El quisco",2018,0.479235096323415
"162",34,"El quisco",2019,0.200669933957555
"163",34,"El quisco",2020,0.246765957772407
"164",34,"El quisco",2021,0.158946004484895
"165",35,"El tabo",2017,0.327509919154148
"166",35,"El tabo",2018,0.415958121954369
"167",35,"El tabo",2019,0.15828802465276
"168",35,"El tabo",2020,0.190156428927823
"169",35,"El tabo",2021,0.0983885440593905
"170",36,"Freirina",2017,0.572228891849149
"171",36,"Freirina",2018,0.568239250197299
"172",36,"Freirina",2019,0.61316959225712
"173",36,"Freirina",2020,0.375888298655202
"174",36,"Freirina",2021,0.257932352533535
"175",37,"Fresia",2017,0.212254793916685
"176",37,"Fresia",2018,0.333333333333333
"177",37,"Fresia",2019,0.0595106898831827
"178",37,"Fresia",2020,0
"179",38,"Guaitecas",2017,0.191137389503052
"180",38,"Guaitecas",2018,0.217361299832192
"181",38,"Guaitecas",2019,0.383523651518722
"182",38,"Guaitecas",2020,0.387201653703138
"183",38,"Guaitecas",2021,0.465280892303083
"184",39,"Hualaihue",2017,0.47431304383473
"185",39,"Hualaihue",2018,0.499340341776311
"186",39,"Hualaihue",2019,0.363857273207398
"187",39,"Hualaihue",2020,0.22798824572471
"188",39,"Hualaihue",2021,0.493665719256396
"189",40,"Hualpen",2017,0.555638435225833
"190",40,"Hualpen",2018,0.509885552820128
"191",40,"Hualpen",2019,0.588459386807888
"192",40,"Hualpen",2020,0.301532206635903
"193",40,"Hualpen",2021,0.433433936884912
"194",41,"Huara",2017,0.668821222951783
"195",41,"Huara",2018,0.344777112441783
"196",41,"Huara",2019,0.431160650410816
"197",41,"Huara",2020,0.572556343445702
"198",41,"Huara",2021,0.646866625824075
"199",42,"Huasco",2017,0.584827205854243
"200",42,"Huasco",2018,0.449930380332211
"201",42,"Huasco",2019,0.239069709765039
"202",42,"Huasco",2020,0.272264167461827
"203",42,"Huasco",2021,0.353870392369952
"204",43,"Iquique",2017,0.233243712897434
"205",43,"Iquique",2018,0.156396946499035
"206",43,"Iquique",2019,0.217083425351459
"207",43,"Iquique",2020,0.28450240864603
"208",43,"Iquique",2021,0.559915692871484
"209",44,"La higuera",2017,0.453013969834261
"210",44,"La higuera",2018,0.157560698816484
"211",44,"La higuera",2019,0.42354502218976
"212",44,"La higuera",2020,0.232583451280869
"213",44,"La higuera",2021,0.476114523554657
"214",45,"La ligua",2017,0.458189957587843
"215",45,"La ligua",2018,0.454539565215397
"216",45,"La ligua",2019,0.501369663486109
"217",45,"La ligua",2020,0.334448815523899
"218",45,"La ligua",2021,0.201295762560216
"219",46,"La serena",2017,0.111778333508522
"220",46,"La serena",2018,0.102857103461967
"221",46,"La serena",2019,0.383065497930363
"222",46,"La serena",2020,0.03720962341652
"223",46,"La serena",2021,0.0412159018421106
"224",47,"La union",2018,0.0287275565964091
"225",47,"La union",2019,0.0457455113192817
"226",47,"La union",2020,0
"227",47,"La union",2021,0.333333333333333
