"COMUNA","MACROZONA","id","stock_id","res","ct","yr"
"TALCAHUANO","CENTRO Y SUR",8,"Scomber japonicus","High",2498,2021
"CORONEL","CENTRO Y SUR",8,"Scomber japonicus","High",24849,2018
"LOTA","CENTRO Y SUR",8,"Scomber japonicus","High",3283,2021
"PELLUHUE","CENTRO Y SUR",8,"Scomber japonicus","High",6,2019
"CORONEL","CENTRO Y SUR",8,"Scomber japonicus","High",5476,2013
"LEBU","CENTRO Y SUR",8,"Scomber japonicus","High",2,2017
"TALCAHUANO","CENTRO Y SUR",8,"Scomber japonicus","High",5307,2014
"CORONEL","CENTRO Y SUR",8,"Scomber japonicus","High",2471,2020
"CORONEL","CENTRO Y SUR",8,"Scomber japonicus","High",16508,2019
"CORONEL","CENTRO Y SUR",8,"Scomber japonicus","High",835,2012
"TALCAHUANO","CENTRO Y SUR",8,"Scomber japonicus","High",6380,2012
"CORONEL","CENTRO Y SUR",8,"Scomber japonicus","High",5470,2013
"MEJILLONES","NORTE",8,"Scomber japonicus","High",780,2013
"CHANARAL","NORTE",8,"Scomber japonicus","High",2,2019
"MEJILLONES","NORTE",8,"Scomber japonicus","High",163,2012
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",112,2013
"TALTAL","NORTE",8,"Scomber japonicus","High",21,2017
"HUASCO","NORTE",8,"Scomber japonicus","High",14,2014
"TALTAL","NORTE",8,"Scomber japonicus","High",1,2018
"MEJILLONES","NORTE",8,"Scomber japonicus","High",3001,2015
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",95,2012
"MEJILLONES","NORTE",8,"Scomber japonicus","High",2361,2014
"ARICA","NORTE",8,"Scomber japonicus","High",392,2014
"ARICA","NORTE",8,"Scomber japonicus","High",280,2012
"HUASCO","NORTE",8,"Scomber japonicus","High",11,2020
"HUASCO","NORTE",8,"Scomber japonicus","High",3,2013
"IQUIQUE","NORTE",8,"Scomber japonicus","High",4645,2014
"HUASCO","NORTE",8,"Scomber japonicus","High",2,2012
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",37,2014
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",69,2016
"TALTAL","NORTE",8,"Scomber japonicus","High",4,2016
"ARICA","NORTE",8,"Scomber japonicus","High",497,2017
"MEJILLONES","NORTE",8,"Scomber japonicus","High",1041,2018
"MEJILLONES","NORTE",8,"Scomber japonicus","High",357,2016
"IQUIQUE","NORTE",8,"Scomber japonicus","High",10818,2012
"CALDERA","NORTE",8,"Scomber japonicus","High",9554,2018
"MEJILLONES","NORTE",8,"Scomber japonicus","High",8537,2019
"TOCOPILLA","NORTE",8,"Scomber japonicus","High",2,2014
"CHANARAL","NORTE",8,"Scomber japonicus","High",1,2016
"CALDERA","NORTE",8,"Scomber japonicus","High",7472,2013
"IQUIQUE","NORTE",8,"Scomber japonicus","High",33,2018
"CALDERA","NORTE",8,"Scomber japonicus","High",1043,2020
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",2,2018
"CALDERA","NORTE",8,"Scomber japonicus","High",21765,2015
"HUASCO","NORTE",8,"Scomber japonicus","High",3,2015
"ARICA","NORTE",8,"Scomber japonicus","High",382,2016
"HUASCO","NORTE",8,"Scomber japonicus","High",2,2018
"ARICA","NORTE",8,"Scomber japonicus","High",211,2015
"ARICA","NORTE",8,"Scomber japonicus","High",2426,2021
"CALDERA","NORTE",8,"Scomber japonicus","High",17937,2016
"MEJILLONES","NORTE",8,"Scomber japonicus","High",5242,2021
"MEJILLONES","NORTE",8,"Scomber japonicus","High",13855,2020
"IQUIQUE","NORTE",8,"Scomber japonicus","High",5514,2013
"IQUIQUE","NORTE",8,"Scomber japonicus","High",5553,2015
"CALDERA","NORTE",8,"Scomber japonicus","High",16405,2021
"CALDERA","NORTE",8,"Scomber japonicus","High",21754,2015
"IQUIQUE","NORTE",8,"Scomber japonicus","High",48397,2021
"ARICA","NORTE",8,"Scomber japonicus","High",1243,2013
"TALTAL","NORTE",8,"Scomber japonicus","High",2,2014
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",30,2015
"ARICA","NORTE",8,"Scomber japonicus","High",8597,2020
"TALTAL","NORTE",8,"Scomber japonicus","High",9,2012
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",3,2020
"TALTAL","NORTE",8,"Scomber japonicus","High",54,2013
"CHANARAL","NORTE",8,"Scomber japonicus","High",2,2017
"CALDERA","NORTE",8,"Scomber japonicus","High",3534,2012
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",2,2017
"IQUIQUE","NORTE",8,"Scomber japonicus","High",43847,2019
"ARICA","NORTE",8,"Scomber japonicus","High",3193,2019
"ARICA","NORTE",8,"Scomber japonicus","High",42,2018
"COPIAPO","NORTE",8,"Scomber japonicus","High",11,2015
"IQUIQUE","NORTE",8,"Scomber japonicus","High",16011,2017
"ANTOFAGASTA","NORTE",8,"Scomber japonicus","High",5,2019
"CALDERA","NORTE",8,"Scomber japonicus","High",3466,2019
"IQUIQUE","NORTE",8,"Scomber japonicus","High",3285,2016
"MEJILLONES","NORTE",8,"Scomber japonicus","High",10266,2017
"CALDERA","NORTE",8,"Scomber japonicus","High",6259,2014
"TOCOPILLA","NORTE",8,"Scomber japonicus","High",258,2012
"CALDERA","NORTE",8,"Scomber japonicus","High",18800,2017
"IQUIQUE","NORTE",8,"Scomber japonicus","High",55779,2020
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",212,2017
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",40,2013
"PUCHUNCAVI","CENTRO",20,"Trachurus murphyi","Low",2,2016
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",43,2016
"CASABLANCA","CENTRO",20,"Trachurus murphyi","Low",1,2017
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",6,2013
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",38,2016
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",11,2014
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",404,2015
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",12253,2021
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",3,2013
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",9,2017
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",119,2019
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",24,2020
"PUCHUNCAVI","CENTRO",20,"Trachurus murphyi","Low",5,2013
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",1,2017
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",46,2018
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",2,2015
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",423,2015
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",4,2021
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",1,2013
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",1,2015
"ALGARROBO","CENTRO",20,"Trachurus murphyi","Low",1,2015
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",11,2013
"PUCHUNCAVI","CENTRO",20,"Trachurus murphyi","Low",1,2021
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",27,2016
"CASABLANCA","CENTRO",20,"Trachurus murphyi","Low",4,2021
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",9,2016
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",49,2012
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",4720,2019
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",3,2020
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",2,2018
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",202,2017
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",9341,2017
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",49,2017
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",9278,2020
"CASABLANCA","CENTRO",20,"Trachurus murphyi","Low",1,2016
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",6,2012
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",15,2019
"CASABLANCA","CENTRO",20,"Trachurus murphyi","Low",1,2018
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",11997,2016
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",53,2018
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",335,2012
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",65,2021
"CASABLANCA","CENTRO",20,"Trachurus murphyi","Low",2,2015
"LOS VILOS","CENTRO",20,"Trachurus murphyi","Low",4,2018
"CONCON","CENTRO",20,"Trachurus murphyi","Low",2,2015
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",4735,2019
"CASABLANCA","CENTRO",20,"Trachurus murphyi","Low",2,2013
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",5396,2018
"CANELA","CENTRO",20,"Trachurus murphyi","Low",1,2015
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",10,2020
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",5254,2018
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",2,2012
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",11,2014
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",17,2016
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",5,2021
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",31,2018
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",16,2013
"CONCON","CENTRO",20,"Trachurus murphyi","Low",2,2019
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",9390,2017
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",64,2015
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",35,2016
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",10,2021
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",33176,2012
"OVALLE","CENTRO",20,"Trachurus murphyi","Low",2,2018
"OVALLE","CENTRO",20,"Trachurus murphyi","Low",27,2016
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",1,2018
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",3,2017
"CONCON","CENTRO",20,"Trachurus murphyi","Low",1,2017
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",56,2015
"PUCHUNCAVI","CENTRO",20,"Trachurus murphyi","Low",6,2015
"CONCON","CENTRO",20,"Trachurus murphyi","Low",3,2020
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",5,2016
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",18,2015
"CONCON","CENTRO",20,"Trachurus murphyi","Low",28,2013
"CASABLANCA","CENTRO",20,"Trachurus murphyi","Low",4,2020
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",5,2017
"CONCON","CENTRO",20,"Trachurus murphyi","Low",5,2018
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",3,2013
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",7,2018
"LA HIGUERA","CENTRO",20,"Trachurus murphyi","Low",142,2018
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",28566,2013
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",484,2020
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",25,2015
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",70,2021
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",55,2020
"OVALLE","CENTRO",20,"Trachurus murphyi","Low",8,2017
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",1,2020
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",14,2019
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",483,2020
"SAN ANTONIO","CENTRO",20,"Trachurus murphyi","Low",65,2021
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",14,2020
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",37,2016
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",9427,2015
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",10,2017
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",29,2015
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",5248,2014
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",15,2014
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",64,2021
"EL QUISCO","CENTRO",20,"Trachurus murphyi","Low",7,2018
"CONCON","CENTRO",20,"Trachurus murphyi","Low",2,2021
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",9363,2015
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",120,2012
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",12257,2021
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",16,2019
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",58,2017
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",9296,2020
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",4,2021
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",84,2013
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",62,2015
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",12006,2016
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",7,2014
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",19,2013
"COQUIMBO","CENTRO",20,"Trachurus murphyi","Low",28606,2013
"VALPARAISO","CENTRO",20,"Trachurus murphyi","Low",16,2016
"QUINTERO","CENTRO",20,"Trachurus murphyi","Low",55,2019
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",138187,2020
"PAREDONES","CENTRO Y SUR",20,"Trachurus murphyi","Low",9,2019
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",59383,2012
"ARAUCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",2,2019
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",55043,2018
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",72,2021
"PAREDONES","CENTRO Y SUR",20,"Trachurus murphyi","Low",5,2020
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",2243,2014
"ARAUCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2017
"TOME","CENTRO Y SUR",20,"Trachurus murphyi","Low",3,2012
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",117505,2013
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",3542,2012
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",46,2020
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",46,2018
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",166998,2014
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",22,2016
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",7,2017
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",171728,2021
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",20,2019
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",69,2020
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",13,2016
"CHANCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",3,2021
"ARAUCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",73,2015
"CHANCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2015
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",9,2015
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",115352,2012
"TOME","CENTRO Y SUR",20,"Trachurus murphyi","Low",17,2021
"PENCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",265,2013
"ARAUCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2021
"ARAUCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",8,2020
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",10,2018
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",71,2018
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",12,2017
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",103,2019
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",164,2021
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",45491,2017
"ARAUCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",177,2013
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",46154,2021
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",4707,2013
"ARAUCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",12,2016
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",5856,2015
"TOME","CENTRO Y SUR",20,"Trachurus murphyi","Low",267,2013
"TOME","CENTRO Y SUR",20,"Trachurus murphyi","Low",13,2015
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",43,2016
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",2,2015
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",151311,2016
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",162384,2015
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",45,2020
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",164039,2017
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",148275,2016
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",5,2014
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",48189,2016
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",46827,2019
"CHANCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",21,2016
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",118803,2013
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",64,2017
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",20,2014
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",295600,2020
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",77,2017
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",93,2015
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",46,2017
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",14,2012
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2020
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2020
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",4,2013
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",238112,2018
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",79434,2017
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",312791,2021
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",293089,2020
"PAREDONES","CENTRO Y SUR",20,"Trachurus murphyi","Low",14,2015
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",60103,2013
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",262256,2019
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",25,2014
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",81,2018
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",6,2015
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",69,2020
"CHANCO","CENTRO Y SUR",20,"Trachurus murphyi","Low",3,2013
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",92,2019
"PAREDONES","CENTRO Y SUR",20,"Trachurus murphyi","Low",9,2021
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",48,2021
"TOME","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2018
"TOME","CENTRO Y SUR",20,"Trachurus murphyi","Low",2,2013
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",109161,2019
"LOTA","CENTRO Y SUR",20,"Trachurus murphyi","Low",64169,2020
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",110,2016
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",239543,2018
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",97,2016
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",162305,2017
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",6,2020
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",2,2019
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2021
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",8,2020
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",7,2013
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",2,2021
"TIRUA","CENTRO Y SUR",20,"Trachurus murphyi","Low",31,2017
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",6,2015
"LICANTEN","CENTRO Y SUR",20,"Trachurus murphyi","Low",72,2021
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",265265,2019
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",8,2012
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",15,2013
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",52,2017
"TIRUA","CENTRO Y SUR",20,"Trachurus murphyi","Low",2,2019
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",99,2015
"CONSTITUCION","CENTRO Y SUR",20,"Trachurus murphyi","Low",83,2019
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",11,2021
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",10,2019
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",45,2021
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",81849,2016
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2019
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",112848,2018
"NAVIDAD","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2015
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2018
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",315398,2021
"TIRUA","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2021
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",60730,2015
"LEBU","CENTRO Y SUR",20,"Trachurus murphyi","Low",1,2013
"PELLUHUE","CENTRO Y SUR",20,"Trachurus murphyi","Low",10,2015
"PICHILEMU","CENTRO Y SUR",20,"Trachurus murphyi","Low",21,2015
"CORONEL","CENTRO Y SUR",20,"Trachurus murphyi","Low",161018,2015
"TALCAHUANO","CENTRO Y SUR",20,"Trachurus murphyi","Low",74493,2014
"COPIAPO","NORTE",20,"Trachurus murphyi","Low",2,2017
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",33,2014
"HUASCO","NORTE",20,"Trachurus murphyi","Low",13,2017
"TALTAL","NORTE",20,"Trachurus murphyi","Low",17,2020
"TOCOPILLA","NORTE",20,"Trachurus murphyi","Low",13,2013
"HUASCO","NORTE",20,"Trachurus murphyi","Low",16,2018
"COPIAPO","NORTE",20,"Trachurus murphyi","Low",1,2021
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",45193,2021
"CALDERA","NORTE",20,"Trachurus murphyi","Low",11433,2017
"ARICA","NORTE",20,"Trachurus murphyi","Low",4158,2021
"TALTAL","NORTE",20,"Trachurus murphyi","Low",2,2019
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",2,2021
"ARICA","NORTE",20,"Trachurus murphyi","Low",3510,2020
"TALTAL","NORTE",20,"Trachurus murphyi","Low",15,2018
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",65,2013
"ARICA","NORTE",20,"Trachurus murphyi","Low",3935,2013
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",108,2012
"ARICA","NORTE",20,"Trachurus murphyi","Low",1897,2019
"COPIAPO","NORTE",20,"Trachurus murphyi","Low",2,2015
"CHANARAL","NORTE",20,"Trachurus murphyi","Low",1,2020
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",3,2015
"TALTAL","NORTE",20,"Trachurus murphyi","Low",12,2016
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",9,2019
"TALTAL","NORTE",20,"Trachurus murphyi","Low",52,2017
"CALDERA","NORTE",20,"Trachurus murphyi","Low",3009,2013
"CALDERA","NORTE",20,"Trachurus murphyi","Low",16036,2015
"ARICA","NORTE",20,"Trachurus murphyi","Low",1602,2017
"MEJILLONES","NORTE",20,"Trachurus murphyi","Low",725,2012
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",8516,2013
"CALDERA","NORTE",20,"Trachurus murphyi","Low",7395,2016
"CALDERA","NORTE",20,"Trachurus murphyi","Low",5788,2020
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",33640,2020
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",6,2016
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",11945,2019
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",13383,2014
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",18881,2017
"ARICA","NORTE",20,"Trachurus murphyi","Low",96,2018
"TOCOPILLA","NORTE",20,"Trachurus murphyi","Low",1242,2012
"CALDERA","NORTE",20,"Trachurus murphyi","Low",11435,2017
"CALDERA","NORTE",20,"Trachurus murphyi","Low",16038,2015
"MEJILLONES","NORTE",20,"Trachurus murphyi","Low",15223,2015
"MEJILLONES","NORTE",20,"Trachurus murphyi","Low",3587,2014
"HUASCO","NORTE",20,"Trachurus murphyi","Low",34,2012
"MEJILLONES","NORTE",20,"Trachurus murphyi","Low",3794,2013
"HUASCO","NORTE",20,"Trachurus murphyi","Low",3,2016
"HUASCO","NORTE",20,"Trachurus murphyi","Low",1,2021
"CALDERA","NORTE",20,"Trachurus murphyi","Low",5743,2020
"ARICA","NORTE",20,"Trachurus murphyi","Low",1195,2015
"ARICA","NORTE",20,"Trachurus murphyi","Low",563,2016
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",2579,2018
"CHANARAL","NORTE",20,"Trachurus murphyi","Low",2,2015
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",18461,2015
"CALDERA","NORTE",20,"Trachurus murphyi","Low",1447,2012
"CHANARAL","NORTE",20,"Trachurus murphyi","Low",2,2021
"HUASCO","NORTE",20,"Trachurus murphyi","Low",130,2013
"TOCOPILLA","NORTE",20,"Trachurus murphyi","Low",1,2014
"HUASCO","NORTE",20,"Trachurus murphyi","Low",132,2014
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",5,2018
"CHANARAL","NORTE",20,"Trachurus murphyi","Low",25,2019
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",5,2017
"ANTOFAGASTA","NORTE",20,"Trachurus murphyi","Low",7,2018
"IQUIQUE","NORTE",20,"Trachurus murphyi","Low",16485,2016
"TALTAL","NORTE",20,"Trachurus murphyi","Low",10,2014
