"taxon_name","b_bmsy","year"
"Engraulis ringens",0.890568840551411,2020
"Engraulis ringens",0.975644414324679,2008
"Engraulis ringens",0.746716725362583,2014
"Engraulis ringens",0.982114378002001,2013
"Engraulis ringens",0.928238221971077,2004
"Engraulis ringens",0.915870838858528,2007
"Engraulis ringens",1.03437038219243,2010
"Engraulis ringens",1.10819849558881,2019
"Engraulis ringens",1.02561990586357,2005
"Engraulis ringens",0.661581836340801,2000
"Engraulis ringens",0.679269395878175,2002
"Engraulis ringens",0.623296011474161,2018
"Engraulis ringens",0.903451273356569,2006
"Engraulis ringens",1.06975993623898,2012
"Engraulis ringens",1.17198768330926,2015
"Engraulis ringens",1.33119620836853,2009
"Engraulis ringens",1.02557440115345,2011
"Engraulis ringens",1.35947295492619,2003
"Engraulis ringens",1.52275699363405,2016
"Engraulis ringens",1.23061086390925,2001
"Engraulis ringens",1.48874127057646,2017
"Engraulis ringens",1.29603235451729,2021
"Scomber japonicus",1.06201752395428,2015
"Scomber japonicus",1.27279942538756,2019
"Scomber japonicus",1.40626340252188,2007
"Scomber japonicus",1.39238080949649,2021
"Scomber japonicus",1.47998250100842,2002
"Scomber japonicus",1.31998216465813,2013
"Scomber japonicus",1.50543802676122,2000
"Scomber japonicus",1.65550033712639,2011
"Scomber japonicus",1.13594357387626,2004
"Scomber japonicus",0.908031983917258,2001
"Scomber japonicus",0.913240590627869,2006
"Scomber japonicus",1.14198920856629,2014
"Scomber japonicus",1.33794181574821,2012
"Scomber japonicus",1.3841593971245,2017
"Scomber japonicus",1.45223610372768,2016
"Scomber japonicus",1.42394128886544,2010
"Scomber japonicus",1.34281202674642,2005
"Scomber japonicus",1.43967564073434,2020
"Scomber japonicus",1.51398035577667,2018
"Scomber japonicus",1.40473697229422,2008
"Scomber japonicus",1.4026043996792,2009
"Scomber japonicus",1.07017977600987,2003
"Trachurus murphyi",1.06501215587728,2013
"Trachurus murphyi",1.24094621267082,2020
"Trachurus murphyi",1.30664248347869,2016
"Trachurus murphyi",1.4248818262983,2014
"Trachurus murphyi",1.55392859774614,2007
"Trachurus murphyi",1.31646386333046,2010
"Trachurus murphyi",1.41407609598685,2009
"Trachurus murphyi",1.211105125849,2001
"Trachurus murphyi",1.29209534011248,2019
"Trachurus murphyi",1.2077007886972,2000
"Trachurus murphyi",1.37632061317475,2012
"Trachurus murphyi",1.25961327747683,2002
"Trachurus murphyi",1.37879735536202,2017
"Trachurus murphyi",1.36031380001055,2021
"Trachurus murphyi",1.46786585755055,2011
"Trachurus murphyi",1.53024041749475,2015
"Trachurus murphyi",1.52475784091516,2018
"Trachurus murphyi",1.17417521699363,2004
"Trachurus murphyi",0.980155473558816,2003
"Trachurus murphyi",0.835171043582618,2005
"Trachurus murphyi",0.746129140522333,2006
"Trachurus murphyi",0.948533216550161,2008
"Merluccius gayi",0.818728614408084,2002
"Merluccius gayi",0.661859750004856,2017
"Merluccius gayi",0.723073357667936,2008
"Merluccius gayi",0.662484900925629,2012
"Merluccius gayi",0.758157797471866,2014
"Merluccius gayi",0.911018805591357,2000
"Merluccius gayi",0.625522904132437,2011
"Merluccius gayi",0.665779387635938,2018
"Merluccius gayi",0.710138566760038,2021
"Merluccius gayi",0.783455492615525,2019
"Merluccius gayi",0.892187149828415,2009
"Merluccius gayi",0.908935732432647,2013
"Merluccius gayi",1.00828638945237,2016
"Merluccius gayi",0.911805420411093,2010
"Merluccius gayi",0.985935447318465,2005
"Merluccius gayi",0.953600120777324,2003
"Merluccius gayi",0.984725743743137,2020
"Merluccius gayi",0.949164448967142,2004
"Merluccius gayi",1.02627162853744,2006
"Merluccius gayi",0.60189961635635,2001
"Merluccius gayi",0.642836012188394,2007
"Merluccius gayi",0.772366766066447,2015
"Brama australis",1.18255466043185,2003
"Brama australis",1.38518907728173,2016
"Brama australis",1.16830379003992,2015
"Brama australis",0.905841216797078,2019
"Brama australis",0.548522804962515,2000
"Brama australis",0.584429110419033,2004
"Brama australis",0.732060088449569,2008
"Brama australis",1.00010708399063,2014
"Brama australis",1.19467298118247,2009
"Brama australis",0.980551685255295,2011
"Brama australis",1.01160234784601,2013
"Brama australis",1.20782476232275,2007
"Brama australis",1.16514046246542,2001
"Brama australis",1.35153506526053,2005
"Brama australis",1.1112742908405,2018
"Brama australis",0.965416176914061,2017
"Brama australis",0.923674720719406,2010
"Brama australis",1.12752255259424,2002
"Brama australis",0.695143212159408,2021
"Brama australis",0.885710035878707,2006
"Brama australis",0.61115487361957,2020
"Brama australis",0.817150751018268,2012
