"taxon_name","b_bmsy","year"
"Engraulis ringens",0.660420394116514,2020
"Engraulis ringens",0.755566140680363,2008
"Engraulis ringens",0.603912842180053,2014
"Engraulis ringens",0.846306032185385,2013
"Engraulis ringens",0.877286774111579,2004
"Engraulis ringens",0.944392849411757,2007
"Engraulis ringens",1.11891719713701,2010
"Engraulis ringens",1.25554681863082,2019
"Engraulis ringens",1.21464631247465,2005
"Engraulis ringens",0.933462844889983,2000
"Engraulis ringens",1.075069363899,2002
"Engraulis ringens",1.10865484925057,2018
"Engraulis ringens",1.44132604206942,2006
"Engraulis ringens",1.49047681633835,2012
"Engraulis ringens",1.5355613663342,2015
"Engraulis ringens",1.6268173886865,2009
"Engraulis ringens",1.29875488821806,2011
"Engraulis ringens",1.64038080597293,2003
"Engraulis ringens",1.71424708685382,2016
"Engraulis ringens",1.42146929358684,2001
"Engraulis ringens",1.67325113703646,2017
"Engraulis ringens",1.44656394268694,2021
"Scomber japonicus",1.03819389971966,2015
"Scomber japonicus",1.26883398364415,2019
"Scomber japonicus",1.42958322636633,2007
"Scomber japonicus",1.45468180733103,2021
"Scomber japonicus",1.5482831940088,2002
"Scomber japonicus",1.43746687630757,2013
"Scomber japonicus",1.60258745016461,2000
"Scomber japonicus",1.72867294594014,2011
"Scomber japonicus",1.32294230150359,2004
"Scomber japonicus",1.17558869139492,2001
"Scomber japonicus",1.22222745816873,2006
"Scomber japonicus",1.44490102827048,2014
"Scomber japonicus",1.60378281669384,2012
"Scomber japonicus",1.6252080583996,2017
"Scomber japonicus",1.67035152768154,2016
"Scomber japonicus",1.63860268197922,2010
"Scomber japonicus",1.57108180979928,2005
"Scomber japonicus",1.65197267261884,2020
"Scomber japonicus",1.70800115108703,2018
"Scomber japonicus",1.61640014286924,2008
"Scomber japonicus",1.61588355911722,2009
"Scomber japonicus",1.21855512566775,2003
"Trachurus murphyi",1.05064002264743,2013
"Trachurus murphyi",1.24877577094443,2020
"Trachurus murphyi",1.33459158382383,2016
"Trachurus murphyi",1.46429257664131,2014
"Trachurus murphyi",1.59575347970125,2007
"Trachurus murphyi",1.36200843368224,2010
"Trachurus murphyi",1.46707483866214,2009
"Trachurus murphyi",1.27181546583556,2001
"Trachurus murphyi",1.36095885732584,2019
"Trachurus murphyi",1.28060825267785,2000
"Trachurus murphyi",1.45184364887283,2012
"Trachurus murphyi",1.33259607315927,2002
"Trachurus murphyi",1.45346331296003,2017
"Trachurus murphyi",1.43187252131268,2021
"Trachurus murphyi",1.53680107769983,2011
"Trachurus murphyi",1.59259220559874,2015
"Trachurus murphyi",1.58202061717181,2018
"Trachurus murphyi",1.23662931054239,2004
"Trachurus murphyi",1.06013080164113,2003
"Trachurus murphyi",0.938136501252429,2005
"Trachurus murphyi",0.882945246001776,2006
"Trachurus murphyi",1.13999823524007,2008
"Merluccius gayi",0.761194955270663,2002
"Merluccius gayi",0.611595104275718,2017
"Merluccius gayi",0.67694173569433,2008
"Merluccius gayi",0.623439868295766,2012
"Merluccius gayi",0.727055863850271,2014
"Merluccius gayi",0.89301752680565,2000
"Merluccius gayi",0.622722168400494,2011
"Merluccius gayi",0.696983701480241,2018
"Merluccius gayi",0.759507867827274,2021
"Merluccius gayi",0.849766351529085,2019
"Merluccius gayi",0.971928268593047,2009
"Merluccius gayi",0.995256185899429,2013
"Merluccius gayi",1.10281965147483,2016
"Merluccius gayi",1.00677545639018,2010
"Merluccius gayi",1.09075042420873,2005
"Merluccius gayi",1.060964894384,2003
"Merluccius gayi",1.09786135383618,2020
"Merluccius gayi",1.0646562356189,2004
"Merluccius gayi",1.14775119570738,2006
"Merluccius gayi",0.72144387578158,2001
"Merluccius gayi",0.796904829740108,2007
"Merluccius gayi",0.964189480658979,2015
"Brama australis",1.1381240485678,2003
"Brama australis",1.3679310611255,2016
"Brama australis",1.17571036580321,2015
"Brama australis",0.935715187193822,2019
"Brama australis",0.604665069633107,2000
"Brama australis",0.675445576291385,2004
"Brama australis",0.858729640322175,2008
"Brama australis",1.16152219885703,2014
"Brama australis",1.34479217172484,2009
"Brama australis",1.10721362491104,2011
"Brama australis",1.14691239571485,2013
"Brama australis",1.34649124055711,2007
"Brama australis",1.28873831463556,2001
"Brama australis",1.47128530666686,2005
"Brama australis",1.21479167605181,2018
"Brama australis",1.07646015103544,2017
"Brama australis",1.04933842556806,2010
"Brama australis",1.2670190934101,2002
"Brama australis",0.833125680338448,2021
"Brama australis",1.05195460153479,2006
"Brama australis",0.829605517672335,2020
"Brama australis",1.09588010769353,2012
