rgn_id;rgn_name;habitat;2017;2018;2019;2020;2021
23;Cochamo;Fiordos;150.2041408;150.2041408;150.2041408;150.2041408;150.2041408
24;Coelemu;Bentonico;125.8956041;125.8956041;125.8956041;125.8956041;125.8956041
24;Coelemu;Litoral;47.8315601;47.8315601;47.8315601;47.8315601;47.8315601
25;Concon;Bentonico;59.91441215;59.91441215;59.91441215;59.91441215;59.91441215
25;Concon;Litoral;12.20067363;12.20067363;12.20067363;12.20067363;12.20067363
25;Concon;Zona de surgencia;36.16062746;36.16062746;36.16062746;36.16062746;36.16062746
26;Constitucion;Bentonico;1044.826027;1044.826027;1044.826027;1044.826027;1044.826027
26;Constitucion;Litoral;359.3690731;359.3690731;359.3690731;359.3690731;359.3690731
27;Copiapo;Bentonico;772.9615438;772.9615438;772.9615438;772.9615438;772.9615438
27;Copiapo;Litoral;43.54990974;43.54990974;43.54990974;43.54990974;43.54990974
28;Coquimbo;Abisal;0.003067325;0.003067325;0.003067325;0.003067325;0.003067325
28;Coquimbo;Bentonico;1241.212013;1241.212013;1241.212013;1241.212013;1241.212013
28;Coquimbo;Litoral;57.14056526;57.14056526;57.14056526;57.14056526;57.14056526
28;Coquimbo;Zona de surgencia;217.4123865;217.4123865;217.4123865;217.4123865;217.4123865
29;Coronel;Bentonico;185.2810197;185.2810197;185.2810197;185.2810197;185.2810197
29;Coronel;Zona de surgencia;869.1665068;869.1665068;869.1665068;869.1665068;869.1665068
30;Corral;Bentonico;523.2429355;523.2429355;523.2429355;523.2429355;523.2429355
30;Corral;Litoral;100.1568471;100.1568471;100.1568471;100.1568471;100.1568471
31;Curaco de Velez;Costa;80.57836561;80.57836561;80.57836561;80.57836561;80.57836561
32;Curepto;Bentonico;390.4541394;390.4541394;390.4541394;390.4541394;390.4541394
32;Curepto;Litoral;33.57271533;33.57271533;33.57271533;33.57271533;33.57271533
33;Dalcahue;Bentonico;0.070213382;0.070213382;0.070213382;0.070213382;0.070213382
33;Dalcahue;Costa;84.0690865;84.0690865;84.0690865;84.0690865;84.0690865
33;Dalcahue;Costa expuesta;731.2871312;731.2871312;731.2871312;731.2871312;731.2871312
34;El quisco;Bentonico;175.7918014;175.7918014;175.7918014;175.7918014;175.7918014
34;El quisco;Litoral;15.09777839;15.09777839;15.09777839;15.09777839;15.09777839
35;El tabo;Bentonico;210.1500458;210.1500458;210.1500458;210.1500458;210.1500458
35;El tabo;Litoral;17.65274682;17.65274682;17.65274682;17.65274682;17.65274682
36;Freirina;Abisal;44.3960179;44.3960179;44.3960179;44.3960179;44.3960179
36;Freirina;Bentonico;1670.569281;1670.569281;1670.569281;1670.569281;1670.569281
36;Freirina;Litoral;37.68158934;37.68158934;37.68158934;37.68158934;37.68158934
36;Freirina;Zona de surgencia;177.8217394;177.8217394;177.8217394;177.8217394;177.8217394
37;Fresia;Bentonico;544.0857052;544.0857052;544.0857052;544.0857052;544.0857052
37;Fresia;Litoral;77.23547448;77.23547448;77.23547448;77.23547448;77.23547448
38;Guaitecas;Canales;1266.183552;1266.183552;1266.183552;1266.183552;1266.183552
38;Guaitecas;Costa expuesta;2261.794224;2261.794224;2261.794224;2261.794224;2261.794224
39;Hualaihue;Costa;854.1486793;854.1486793;854.1486793;854.1486793;854.1486793
39;Hualaihue;Fiordos;332.3092033;332.3092033;332.3092033;332.3092033;332.3092033
40;Hualpen;Bentonico;301.3400311;301.3400311;301.3400311;301.3400311;301.3400311
40;Hualpen;Litoral;8.587934673;8.587934673;8.587934673;8.587934673;8.587934673
40;Hualpen;Zona de surgencia;111.3449514;111.3449514;111.3449514;111.3449514;111.3449514
41;Huara;Bentonico;2118.607439;2118.607439;2118.607439;2118.607439;2118.607439
41;Huara;Litoral;134.4349514;134.4349514;134.4349514;134.4349514;134.4349514
